| Government | Algeria |
| --- | --- |
| Country name: | conventional long form: People's Democratic Republic of Algeria |
| Country name: | conventional short form: Algeria |
| Country name: | local long form: Al Jumhuriyah al Jaza'iriyah ad Dimuqratiyah ash Sha'biyah |
| Country name: | local short form: Al Jaza'ir |
| Government type: | republic |
| Capital: | name: Algiers |
| Capital: | geographic coordinates: 36 45 N, 3 03 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 48 provinces (wilayat, singular - wilaya); Adrar, Ain Defla, Ain Temouchent, Alger, Annaba, Batna, Bechar, Bejaia, Biskra, Blida, Bordj Bou Arreridj, Bouira, Boumerdes, Chlef, Constantine, Djelfa, El Bayadh, El Oued, El Tarf, Ghardaia, Guelma, Illizi, Jijel, Khenchela, Laghouat, Mascara, Medea, Mila, Mostaganem, M'Sila, Naama, Oran, Ouargla, Oum el Bouaghi, Relizane, Saida, Setif, Sidi Bel Abbes, Skikda, Souk Ahras, Tamanghasset, Tebessa, Tiaret, Tindouf, Tipaza, Tissemsilt, Tizi Ouzou, Tlemcen |
| Independence: | 5 July 1962 (from France) |
| National holiday: | Revolution Day, 1 November (1954) |
| Constitution: | adopted 8 September 1963; amended several times, last in 2008 (2013) |
| Legal system: | mixed legal system of French civil law and Islamic law; judicial review of legislative acts in ad hoc Constitutional Council composed of various public officials including several Supreme Court justices |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Abdelaziz BOUTEFLIKA (since 28 April 1999) |
| Executive branch: | head of government: Prime Minister Abdelmalek SELLAL (since 3 September 2012) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a five-year term (no term limits); election last held on 9 April 2009 (next to be held in April 2014) |
| Executive branch: | election results: Abdelaziz BOUTEFLIKA reelected president for a third term; percent of vote - Abdelaziz BOUTEFLIKA 90.2%, Louisa HANOUNE 4.2%, Moussa TOUATI 2.3%, Djahid YOUNSI 1.4%, Ali Fawzi REBAINE less than 1%, Mohamed SAID less than 1% |
| Legislative branch: | bicameral Parliament consists of the Council of the Nation (upper house; 144 seats; one-third of the members appointed by the president, two-thirds elected by indirect vote to serve six-year terms; the constitution requires half the Council to be renewed every three years) and the National People's Assembly (lower house; 462 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: Council of the Nation - last held on 29 December 2012 (next to be held in December 2017); National People's Assembly - last held on 10 May 2012 (next to be held in 2017) |
| Legislative branch: | election results: Council of the Nation election of 29 December 2009 - percent of vote by party - NA; seats by party - NA; National People's Assembly election of 10 May 2012 - percent of vote by party - NA; seats by party - FLN 221, RND 70, AAV 47, FFS 21, PT 17, FNA 9, El Adala 7, MPA 6, PFJ 5, FC 4, PNSD 4, other 32, independents 19 |
| Judicial branch: | highest court(s): Supreme Court or Cour Supreme (consists of 150 judges organized into four divisions: civil and commercial; social security and labor; criminal; and administrative; Constitutional Council (consists of 9 members including the court president) |
| Judicial branch: | note - Algeria's judicial system does not include sharia courts |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the High Council of Magistracy, an administrative body presided over by the president of the republic, and includes the republic vice-president and several members; judge tenure NA; Constitutional Council members - 3 appointed by the president of the republic, 2 each by the two houses of the Parliament, 1 by the Supreme Court, and 1 by the Council of State; Council president and members appointed for single 6-year terms with half of the membership renewed every 3 years |
| Judicial branch: | subordinate courts: appellate or wilaya courts; first instance or daira tribunals |
