| Government | Angola |
| --- | --- |
| Country name: | conventional long form: Republic of Angola |
| Country name: | conventional short form: Angola |
| Country name: | local long form: Republica de Angola |
| Country name: | local short form: Angola |
| Country name: | former: People's Republic of Angola |
| Government type: | republic, nominally a multiparty democracy with a strong presidential system |
| Capital: | Luanda |
| Administrative divisions: | 18 provinces (provincias, singular - provincia); Bengo, Benguela, Bie, Cabinda, Cuando Cubango, Cuanza Norte, Cuanza Sul, Cunene, Huambo, Huila, Luanda, Lunda Norte, Lunda Sul, Malanje, Moxico, Namibe, Uige, Zaire |
| Independence: | 11 November 1975 (from Portugal) |
| National holiday: | Independence Day, 11 November (1975) |
| Constitution: | 11 November 1975; revised 7 January 1978, 11 August 1980, 6 March 1991, and 26 August 1992; note - new constitution has not yet been approved |
| Legal system: | based on Portuguese civil law system and customary law; recently modified to accommodate political pluralism and increased use of free markets |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jose Eduardo DOS SANTOS (since 21 September 1979); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Jose Eduardo DOS SANTOS (since 21 September 1979); note - the president is both chief of state and head of government; Fernando de Piedade Dias DOS SANTOS was appointed Prime Minister on 6 December 2002, but this is not a position of real power |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: president elected by universal ballot for a five-year term; President DOS SANTOS originally elected (in 1979) without opposition under a one-party system and stood for reelection in Angola's first multiparty elections 29-30 September 1992 (next to be held September 2006) |
| Executive branch: | election results: DOS SANTOS 49.6%, Jonas SAVIMBI 40.1%, making a run-off election necessary; the run-off was not held and SAVIMBI's National Union for the Total Independence of Angola (UNITA) repudiated the results of the first election; the civil war resumed |
| Legislative branch: | unicameral National Assembly or Assembleia Nacional (220 seats; members elected by proportional vote to serve four-year terms) |
| Legislative branch: | elections: last held 29-30 September 1992 (next to be held September 2006) |
| Legislative branch: | election results: percent of vote by party - MPLA 54%, UNITA 34%, others 12%; seats by party - MPLA 129, UNITA 70, PRS 6, FNLA 5, PLD 3, others 7 |
| Judicial branch: | Supreme Court or Tribunal da Relacao (judges are appointed by the president) |
| Political parties and leaders: | Liberal Democratic Party or PLD [Analia de Victoria PEREIRA]; National Front for the Liberation of Angola or FNLA [disputed leadership: Lucas NGONDA, Holden ROBERTO]; National Union for the Total Independence of Angola or UNITA [Isaias SAMAKUVA], largest opposition party has engaged in years of armed resistance; Popular Movement for the Liberation of Angola or MPLA [Jose Eduardo DOS SANTOS], ruling party in power since 1975; Social Renewal Party or PRS [disputed leadership: Eduardo KUANGANA, Antonio MUACHICUNGO] |
| Political parties and leaders: | note: about a dozen minor parties participated in the 1992 elections but only won a few seats and have little influence in the National Assembly |
| Political pressure groups and leaders: | Front for the Liberation of the Enclave of Cabinda or FLEC [N'zita Henriques TIAGO, Antonio Bento BEMBE] |
| Political pressure groups and leaders: | note: FLEC is waging a small-scale, highly factionalized, armed struggle for the independence of Cabinda Province |
| International organization participation: | ACP, AfDB, AU, FAO, G-77, IAEA, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, MIGA, NAM, OAS (observer), SADC, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Josefina Perpetua Pitra DIAKIDI |
| Diplomatic representation in the US: | chancery: 2108 16th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 785-1156 |
| Diplomatic representation in the US: | FAX: [1] (202) 785-1258 |
| Diplomatic representation in the US: | consulate(s) general: Houston and New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Cynthia EFFIRD |
| Diplomatic representation from the US: | embassy: number 32 Rua Houari Boumedienne (in the Miramar area of Luanda), Luanda |
| Diplomatic representation from the US: | mailing address: international mail: Caixa Postal 6468, Luanda; pouch: American Embassy Luanda, Department of State, Washington, DC 20521-2550 |
| Diplomatic representation from the US: | telephone: [244] (2) 445-481, 447-028, 446-224 |
| Diplomatic representation from the US: | FAX: [244] (2) 446-924 |
| Flag description: | two equal horizontal bands of red (top) and black with a centered yellow emblem consisting of a five-pointed star within half a cogwheel crossed by a machete (in the style of a hammer and sickle) |
