| Government | Brunei |
| --- | --- |
| Country name: | conventional long form: Brunei Darussalam |
| Country name: | conventional short form: Brunei |
| Country name: | local long form: Negara Brunei Darussalam |
| Country name: | local short form: Brunei |
| Government type: | constitutional sultanate (locally known as Malay Islamic Monarchy) |
| Capital: | name: Bandar Seri Begawan |
| Capital: | geographic coordinates: 4 53 N, 114 56 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 4 districts (daerah-daerah, singular - daerah); Belait, Brunei-Muara, Temburong, Tutong |
| Independence: | 1 January 1984 (from the UK) |
| National holiday: | National Day, 23 February (1984); note - 1 January 1984 was the date of independence from the UK, 23 February 1984 was the date of independence from British protection |
| Constitution: | 29 September 1959 (some provisions suspended under a State of Emergency since December 1962, others since independence on 1 January 1984) |
| Legal system: | mixed legal system based on English common law and Islamic law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age for village elections; universal |
| Executive branch: | chief of state: Sultan and Prime Minister Sir HASSANAL Bolkiah (since 5 October 1967); note - the monarch is both the chief of state and head of government |
| Executive branch: | head of government: Sultan and Prime Minister Sir HASSANAL Bolkiah (since 5 October 1967) |
| Executive branch: | cabinet: Council of Cabinet Ministers appointed and presided over by the monarch; deals with executive matters; note - there is also a Religious Council (members appointed by the monarch) that advises on religious matters, a Privy Council (members appointed by the monarch) that deals with constitutional matters, and the Council of Succession (members appointed by the monarch) that determines the succession to the throne if the need arises |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: none; the monarchy is hereditary |
| Legislative branch: | the Sultan appointed a Legislative Council with 29 members in September 2005; he increased the size of the council to 33 members in June 2011; the council meets annually in March |
| Legislative branch: | elections: last held in March 1962 (date of next election NA) |
| Legislative branch: | note: the Legislative Council met on 25 September 2004 for first time in 20 years with 21 members appointed by the Sultan; it passed constitutional amendments calling for a 45-seat council with 15 elected members; no timeframe for an election was announced |
| Judicial branch: | Supreme Court - chief justice and judges are sworn in by monarch for three-year terms; Judicial Committee of Privy Council in London is final court of appeal for civil cases; Sharia courts deal with Islamic laws (2006) |
| Political parties and leaders: | National Development Party or NDP [YASSIN Affendi] |
| Political parties and leaders: | note: Brunei National Solidarity Party or PPKB [Abdul LATIF bin Chuchu] and People's Awareness Party or PAKAR [Awang Haji MAIDIN bin Haji Ahmad] were deregistered in 2007; parties are small and have limited activity |
| Political pressure groups and leaders: | NA |
| International organization participation: | ADB, APEC, ARF, ASEAN, C, CP, EAS, G-77, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IDB, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, ISO (correspondent), ITSO, ITU, NAM, OIC, OPCW, UN, UNCTAD, UNESCO, UNIFIL, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Yusoff Abd HAMID |
| Diplomatic representation in the US: | chancery: 3520 International Court NW #300, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 237-1838 |
| Diplomatic representation in the US: | FAX: [1] (202) 885-0560 |
| Diplomatic representation from the US: | chief of mission: Ambassador Daniel L. SHIELDS III |
| Diplomatic representation from the US: | embassy: Simpang 336-52-16-9, Jalan Kebangsaan, Bandar Seri Begawan, BC4115 |
| Diplomatic representation from the US: | mailing address: Unit 4280, Box 40, FPO AP 96507; P.O. Box 2991, Bandar Seri Begawan BS8675, Negara Brunei Darussalam |
| Diplomatic representation from the US: | telephone: [673] 238-4616 |
| Diplomatic representation from the US: | FAX: [673] 238-4604 |
| Flag description: | yellow with two diagonal bands of white (top, almost double width) and black starting from the upper hoist side; the national emblem in red is superimposed at the center; yellow is the color of royalty and symbolizes the sultanate; the white and black bands denote Brunei's chief ministers; the emblem includes five main components: a swallow-tailed flag, the royal umbrella representing the monarchy, the wings of four feathers symbolizing justice, tranquility, prosperity, and peace, the two upraised hands signifying the government's pledge to preserve and promote the welfare of the people, and the crescent moon denoting Islam, the state religion; the state motto "Always render service with God's guidance" appears in yellow Arabic script on the crescent; a ribbon below the crescent reads "Brunei, the Abode of Peace" |
| National anthem: | name: "Allah Peliharakan Sultan" (God Bless His Majesty) |
| National anthem: | lyrics/music: Pengiran Haji Mohamed YUSUF bin Abdul Rahim/Awang Haji BESAR bin Sagap |
| National anthem: | note: adopted 1951 |
