| Government | Christmas Island |
| --- | --- |
| Country name: | conventional long form: Territory of Christmas Island |
| Country name: | conventional short form: Christmas Island |
| Dependency status: | non-self governing territory of Australia; administered from Canberra by the Department of Regional Australia, Local Government, Arts and Sport |
| Government type: | NA |
| Capital: | name: The Settlement |
| Capital: | geographic coordinates: 10 25 S, 105 43 E |
| Capital: | time difference: UTC+7 (12 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | none (territory of Australia) |
| Independence: | none (territory of Australia) |
| National holiday: | Australia Day, 26 January (1788) |
| Constitution: | 1 October 1958 (Christmas Island Act 1958); amended many times, last in 2010 (Territories Law Reform Act 2010) (2010) |
| Legal system: | legal system is under the authority of the governor general of Australia and Australian law |
| Suffrage: | 18 years of age |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952) represented by the Australian governor general |
| Executive branch: | head of government: Administrator Jon STANHOPE (since 5 October 2012) |
| Executive branch: | elections: the monarchy is hereditary; governor general appointed by the monarch on the recommendation of the Australian prime minister; administrator appointed by the governor general of Australia for a two-year term and represents the monarch and Australia |
| Legislative branch: | unicameral Christmas Island Shire Council (9 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: held every two years with half the members standing for election; last held In 2011 (next to be held in 2013) |
| Legislative branch: | election results: percent of vote - NA; seats - independents 9 |
| Judicial branch: | highest court(s): under the terms of the Territorial Law Reform Act 1992, Western Australia provides court services as needed for the island including the Supreme Court and subordinate courts (District Court, Magistrate Court, Family Court, Children's Court, and Coroners' Court) |
| judge selection and term of office: | subordinate courts: |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | none |
| International organization participation: | none |
| Diplomatic representation in the US: | none (territory of Australia) |
| Diplomatic representation from the US: | none (territory of Australia) |
| Flag description: | territorial flag; divided diagonally from upper hoist to lower fly; the upper triangle is green with a yellow image of the Golden Bosun Bird superimposed; the lower triangle is blue with the Southern Cross constellation, representing Australia, superimposed; a centered yellow disk displays a green map of the island |
| Flag description: | note: the flag of Australia is used for official purposes |
| National symbol(s): | golden bosun bird |
| National anthem: | note: as a territory of Australia, "Advance Australia Fair" remains official as the national anthem, while "God Save the Queen" serves as the royal anthem (see Australia) |
