| Government | Colombia |
| --- | --- |
| Country name: | conventional long form: Republic of Colombia |
| Country name: | conventional short form: Colombia |
| Country name: | local long form: Republica de Colombia |
| Country name: | local short form: Colombia |
| Country name: | etymology: the country is named after explorer Christopher COLUMBUS |
| Government type: | presidential republic |
| Capital: | name: Bogota |
| Capital: | geographic coordinates: 4 36 N, 74 05 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC, during Standard Time) |
| Administrative divisions: | 32 departments (departamentos, singular - departamento) and 1 capital district* (distrito capital); Amazonas, Antioquia, Arauca, Atlantico, Bogota*, Bolivar, Boyaca, Caldas, Caqueta, Casanare, Cauca, Cesar, Choco, Cordoba, Cundinamarca, Guainia, Guaviare, Huila, La Guajira, Magdalena, Meta, Narino, Norte de Santander, Putumayo, Quindio, Risaralda, Archipielago de San Andres, Providencia y Santa Catalina (colloquially San Andres y Providencia), Santander, Sucre, Tolima, Valle del Cauca, Vaupes, Vichada |
| Independence: | 20 July 1810 (from Spain) |
| National holiday: | Independence Day, 20 July (1810) |
| Constitution: | history: several previous; latest promulgated 5 July 1991 (2018) |
| Constitution: | amendments: proposed by the government, by Congress, by a constituent assembly, or by public petition; passage requires a majority vote by Congress in each of two consecutive sessions; passage of amendments to constitutional articles on citizen rights, guarantees, and duties also require approval in a referendum by over one-half of voters and participation of over one-fourth of citizens registered to vote; amended many times, last in 2018 (2018) |
| Legal system: | civil law system influenced by the Spanish and French civil codes |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: least one parent must be a citizen or permanent resident of Colombia |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
