| Government | Kuwait |
| --- | --- |
| Country name: | conventional long form: State of Kuwait |
| Country name: | conventional short form: Kuwait |
| Country name: | local long form: Dawlat al Kuwayt |
| Country name: | local short form: Al Kuwayt |
| Government type: | constitutional hereditary emirate |
| Capital: | name: Kuwait |
| Capital: | geographic coordinates: 29 20 N, 47 59 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 6 governorates (muhafazat, singular - muhafazah); Al Ahmadi, Al 'Asimah, Al Farwaniyah, Al Jahra', Hawalli, Mubarak Al Kabir |
| Independence: | 19 June 1961 (from UK) |
| National holiday: | National Day, 25 February (1950) |
| Constitution: | approved and promulgated 11 November 1962 |
| Legal system: | civil law system with Islamic law significant in personal matters; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | adult males who are not in the military forces, and adult females (as of 16 May 2005); all voters must have been citizens for 20 years |
| Executive branch: | chief of state: Amir SABAH al-Ahmad al-Jabir al-Sabah (since 29 January 2006); Crown Prince NAWAF al-Ahmad al-Sabah |
| Executive branch: | head of government: Prime Minister NASIR al-Muhammad al-Ahmad al-Sabah (since 7 February 2006) First Deputy Prime Minister JABIR Mubarak al-Hamad al-Sabah (since 9 February 2006); Deputy Prime Ministers MUHAMMAD al-Sabah al-Salim al-Sabah (since 9 February 2006) and Ismail al-SHATTI (since 10 July 2006) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister and approved by the amir |
| Executive branch: | elections: none; the amir is hereditary; prime minister and deputy prime ministers appointed by the amir |
| Legislative branch: | unicameral National Assembly or Majlis al-Umma (50 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 29 June 2006 (next to be held in 2010) |
| Legislative branch: | election results: percent of vote - NA; seats - NA; note - all cabinet ministers are also ex officio members of the National Assembly |
| Judicial branch: | High Court of Appeal |
| Political parties and leaders: | none; formation of political parties is illegal |
| Political pressure groups and leaders: | a number of political groups act as de facto parties; several legislative blocs operate in the National Assembly: tribal groups, merchants, Shi'a activists, Islamists, and secular liberals |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, BDEAC, CAEU, FAO, G-77, GCC, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IPU, ISO, ITU, LAS, MIGA, NAM, OAPEC, OIC, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UNITAR, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador SALIM Abdallah al-Jabir al-Sabah |
| Diplomatic representation in the US: | chancery: 2940 Tilden Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 966-0702 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-0517 |
| Diplomatic representation from the US: | chief of mission: Ambassador Richard LEBARON |
| Diplomatic representation from the US: | embassy: Bayan 36302, Area 14, Al-Masjed Al-Aqsa Street (near the Bayan palace), Kuwait City |
| Diplomatic representation from the US: | mailing address: P. O. Box 77 Safat 13001 Kuwait; or PSC 1280 APO AE 09880-9000 |
| Diplomatic representation from the US: | telephone: [965] 259-1001 |
| Diplomatic representation from the US: | FAX: [965] 538-0282 |
| Flag description: | three equal horizontal bands of green (top), white, and red with a black trapezoid based on the hoist side; design, which dates to 1961, based on the Arab revolt flag of World War I |
