| Government | LIBERIA |
| --- | --- |
| Country name: | conventional long form: Republic of Liberia |
| Country name: | conventional short form: Liberia |
| Government type: | republic |
| Capital: | name: Monrovia |
| Capital: | geographic coordinates: 6 18 N, 10 48 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 15 counties; Bomi, Bong, Gbarpolu, Grand Bassa, Grand Cape Mount, Grand Gedeh, Grand Kru, Lofa, Margibi, Maryland, Montserrado, Nimba, River Cess, River Gee, Sinoe |
| Independence: | 26 July 1847 |
| National holiday: | Independence Day, 26 July (1847) |
| Constitution: | previous 1847 (at independence); latest drafted 19 October 1983, revised version adopted by referendum 3 July 1984, effective 6 January 1986; amended 2011; note - a series of amendment proposals approved by the Constitution Review Conference in early 2015 are pending government review (2015) |
| Legal system: | mixed legal system of common law (based on  Anglo-American law) and customary law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Liberia |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 2 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ellen JOHNSON SIRLEAF (since 16 January 2006); Vice President Joseph BOAKAI (since 16 January 2006); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Ellen JOHNSON SIRLEAF (since 16 January 2006); Vice President Joseph BOAKAI (since 16 January 2006) |
| Executive branch: | cabinet: Cabinet appointed by the president, confirmed by the Senate |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 6-year term (eligible for a second term); election last held on 11 October and 8 November 2011 (next to be held in 2017) |
| Executive branch: | election results: Ellen JOHNSON SIRLEAF reelected president; percent of vote in second round - Ellen JOHNSON SIRLEAF (UP) 90.7%, Winston TUBMAN (NDPL) 9.3% |
| Legislative branch: | description: bicameral National Assembly consists of the Senate (30 seats; members directly elected in 15 two-seat constituencies by simple majority vote to serve 9-year staggered terms with half the membership renewed at 3- and 6-year intervals; eligible for a second term; and the House of Representatives (73 seats; members directly elected in single-seat constituencies by simple majority vote to serve 6-year terms; eligible for a second term) |
| Legislative branch: | elections: Senate - last held on 20 December 2014 (originally scheduled for 14 October 2014, but postponed due to Ebola-virus epidemic; next to be held in fall 2020); House of Representatives - last held on 11 October 2011 (next to be held in 2017) |
| Legislative branch: | election results: Senate - percent of vote by party - CDC 29.8%, LP 11.5%, NPP 6.1%, PUP 4.9%, NDC 1.3%, other parties 11.8%, independent 24.3%; seats by party - UP 4, CDC 2, LP 2, ANC 1, NDC 1, NPP 1, PUP 1, independent 3; House of Representatives - percent of vote by party - UP 17.8%, CDC 12.8%, LP 9.2%, NDC 5.7%, LTP 4.5%, PUP 3.9%, NPP 3.3%, MPC 2.4%, LDP 1.0%, NRP 0.8%, other parties 16.8% independent 19.7% ; seats by party - UP 24, CDC 11, LP 7, PUP 6, NDC 5, APD 3, NPP 3, MPC 2, LDP 1, LTP 1, NRP 1, independent 9 |
| Judicial branch: | highest court(s): Supreme Court (consists of a chief justice and 4 associate justices); note - the Supreme Court has jurisdiction for all constitutional cases |
| Judicial branch: | judge selection and term of office: chief justice and associate justices appointed by the president of Liberia with consent of the Senate; judges can serve until age 70 |
| Judicial branch: | subordinate courts: judicial circuit courts; special courts including criminal, civil, labor, traffic; magistrate and traditional or customary courts |
| Political parties and leaders: | Alliance for Peace and Democracy or APD [Marcus S. G. DAHN] |
| Political parties and leaders: | Alternative National Congress or ANC [Orishil GOULD] |
| Political parties and leaders: | Congress for Democratic Change or CDC [George WEAH] |
| Political parties and leaders: | Liberia Destiny Party or LDP [Nathaniel BARNES] |
| Political parties and leaders: | Liberia Transformation Party or LTP [Julius SUKU] |
| Political parties and leaders: | Liberty Party or LP [J. Fonati KOFFA] |
| Political parties and leaders: | Movement for Progressive Change or MPC [Simeon FREEMAN] |
| Political parties and leaders: | National Democratic Coalition or NDC [Dew MAYSON] |
| Political parties and leaders: | National Democratic Party of Liberia or NDPL [D. Nyandeh SIEH] |
