| Government | Nepal |
| --- | --- |
| Country name: | conventional long form: Federal Democratic Republic of Nepal |
| Country name: | conventional short form: Nepal |
| Country name: | local long form: Sanghiya Loktantrik Ganatantra Nepal |
| Country name: | local short form: Nepal |
| Government type: | federal democratic republic |
| Capital: | name: Kathmandu |
| Capital: | geographic coordinates: 27 43 N, 85 19 E |
| Capital: | time difference: UTC+5.75 (10.75 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 14 zones (anchal, singular and plural); Bagmati, Bheri, Dhawalagiri, Gandaki, Janakpur, Karnali, Kosi, Lumbini, Mahakali, Mechi, Narayani, Rapti, Sagarmatha, Seti |
| Independence: | 1768 (unified by Prithvi Narayan SHAH) |
| National holiday: | Republic Day, 29 May; Democracy Day, 24 April |
| Constitution: | 15 January 2007 (interim Constitution); note - in April 2008, a Constituent Assembly was elected to draft and promulgate a new constitution by May 2010; the fourth and final deadline extended to May 2012 |
| Legal system: | English common law and Hindu legal concepts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ram Baran YADAV (since 23 July 2008); Vice President Paramananda JHA (since 23 July 2008) |
| Executive branch: | head of government: Prime Minister Baburam BHATTARAI (since 29 August 2011); Deputy Prime Ministers Bijay Kumar GACHCHADAR (since 29 August 2011) and Narayan Kaji SHRESTHA |
| Executive branch: | cabinet: cabinet was formed in May 2009 by a majority coalition made up of the Communist Party of Nepal-United Marxist-Leninist, Nepali Congress, Madhesi People's Rights Forum, Nepal-Democratic, and several smaller parties |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by Parliament; term extends until the new constitution is promulgated; election last held on 21 July 2008; date of next election NA |
| Executive branch: | election results: Ram Baran YADAV elected president by the Constituent Assembly in a second round of voting on 21 July 2008; Ram Baran YADAV 308, Ram Jaja Prasad SINGH 282 |
| Legislative branch: | unicameral Constituent Assembly (601 seats; 240 members elected by direct popular vote, 335 by proportional representation, and 26 appointed by the Cabinet (Council of Ministers)) |
| Legislative branch: | elections: last held on 10 April 2008 (next to be held NA) |
| Legislative branch: | election results: percent of vote by party - CPN-M 38%, NC 19%, CPN-UML 18%,Madhesi People's Right Forum 9%, other 11%; seats by party - CPN-M 229, NC 115, CPN-UML 108, Madhesi People's Rights Forum 54, Terai Madhes Democratic Party 21, other smaller parties 74; note - 26 seats filled by the new Cabinet are included in the totals above |
| Judicial branch: | Supreme Court or Sarbochha Adalat (the president appoints the chief justice on recommendation of the Constitutional Council; the chief justice appoints other judges on the recommendation of the Judicial Council) |
| Political parties and leaders: | Chure Bhawar Rastriya Ekata Party [Keshav Prasad MAINALI]; Communist Party of Nepal-Maoist (inactive); Communist Party of Nepal-Marxist Leninist or CPN-ML [C.P. MAINALI]; Communist Party of Nepal-Unified [Raj Singh SHRIS]; Communist Party of Nepal-United [Chandra Dev JOSHI]; Communist Party of Nepal-Unified Marxist-Leninist or CPN-UML [Jhalanath KHANAL]; Dalit Janajati Party [Vishwendraman PASHWAN]; Federal Democratic National Forum; Madhesi People's Rights Forum-Democratic [Bijay Kumar GACHHADAR]; Madhesi People's Rights Forum-Nepal [Upendra YADAV]; Nepal Loktantrik Samajbadi Dal [Upendra GACHCHHADAR]; Nepal Pariwar Dal [Eknath DHAKAL]; Nepal Sadbhavana Party-Anandi Devi [Sarita GIRI]; Nepal Workers and Peasants Party or [Narayan Man BIJUKCHHE]; Nepali Congress or NC [Sushil KOIRALA]; Nepali Janata Dal [Harish Chandra SHA]; Newa Rastriya Party [Keshav Man SHAKYA]; Rastriya Janamorcha [Chitra Bahadur K.C.]; Rastriya Janamukti Party [Malwar Singh THAPA]; Rastriya Janashakti Party or RJP [Surya Bahadur THAPA]; Rastriya Prajantantra Party [Pashupati Shumsher RANA]; Rastriya Prajantantra Party Nepal [Kamal THAPA]; Sadbhavana Party [Rajendra MAHATO]; Samajbadi Prajatantrik Janata Party Nepal [Prem Bahadur SINGH]; Terai Madhes Democratic Party [Mahantha THAKUR]; Unified Communist Party of Nepal (Maoist) [Pushpa Kamal DAHAL, also known as PRACHANDA] |
| Political pressure groups and leaders: | other: several small armed Madhesi groups along the southern border with India; a variety of groups advocating regional autonomy for individual ethnic groups |
