| Government | Saint Martin |
| --- | --- |
| Country name: | conventional long form: Overseas Collectivity of Saint Martin |
| Country name: | conventional short form: Saint Martin |
| Country name: | local long form: Collectivity d'outre mer de Saint-Martin |
| Country name: | local short form: Saint-Martin |
| Capital: | name: Marigot |
| Capital: | geographical coordinates: 18 04 N, 63 05 W |
| Capital: | time difference: UTC-4 (1 hour behind Washington, DC, during Standard Time) |
| Capital: | daylight savings: +1 hour |
| Independence: | none (overseas collectivity of France) |
| National holiday: | Bastille Day, 14 July (1789); note - local holiday is Schoalcher Day (Slavery Abolition Day) 12 July (1848) |
| Constitution: | 4 October 1958 (French Constitution) |
| Legal system: | the laws of France, where applicable, apply |
| Suffrage: | 18 years of age, universal |
| Executive branch: | chief of state: President Nicolas SARKOZY (since 16 May 2007), represented by Prefect Dominique LACROIX (since 21 March 2007) |
| Executive branch: | head of government: President of the Territorial Council Louis-Constant FLEMING (since 16 July 2007) |
| Executive branch: | cabinet: Executive Council; note - there is also an advisory economic, social, and cultural council |
| Executive branch: | election: French president elected by popular vote to a five-year term; prefect appointed by the French president on the advice of the French Ministry of Interior; president of the Territorial Council is elected by the members of the Council for a five-year term |
| Executive branch: | election results: Louis-Constant FLEMING unanimously elected president by the Territorial Council on 16 July 2007 |
| Legislative branch: | unicameral Territorial Council (23 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 1 and 8 July 2007 (next to be held July 2012) |
| Legislative branch: | election results: percent of seats by party - UPP 49%, RRR 42.2%, Reussir Saint-Martin 8.9%; seats by party - UPP 16, RRR 6, Reussir Saint-Martin 1 |
| Political parties and leaders: | Union Pour le Progres or UPP [Louis Constant FLEMING]; Rassemblement Responsabilite Reussite or RRR [Alain RICHARDSON]; Reussir Saint-Martin [Jean-Luc HAMLET] |
| International organization participation: | UPU |
| Diplomatic representation in the US: | none (overseas collectivity of France) |
| Diplomatic representation from the US: | none (overseas collectivity of France) |
| Flag description: | the flag of France is used |
