| Government | Saudi Arabia |
| --- | --- |
| Country name: | conventional long form: Kingdom of Saudi Arabia |
| Country name: | conventional short form: Saudi Arabia |
| Country name: | local long form: Al Mamlakah al Arabiyah as Suudiyah |
| Country name: | local short form: Al Arabiyah as Suudiyah |
| Government type: | monarchy |
| Capital: | name: Riyadh |
| Capital: | geographic coordinates: 24 38 N, 46 43 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 13 provinces (mintaqat, singular - mintaqah); Al Bahah, Al Hudud ash Shamaliyah, Al Jawf, Al Madinah, Al Qasim, Ar Riyad, Ash Sharqiyah (Eastern Province), 'Asir, Ha'il, Jizan, Makkah, Najran, Tabuk |
| Independence: | 23 September 1932 (unification of the kingdom) |
| National holiday: | Unification of the Kingdom, 23 September (1932) |
| Constitution: | governed according to Shari'a law; the Basic Law that articulates the government's rights and responsibilities was introduced in 1993 |
| Legal system: | based on Shari'a law, several secular codes have been introduced; commercial disputes handled by special committees; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | adult male citizens age 21 or older |
| Suffrage: | note: voter registration began in November 2004 for partial municipal council elections held nationwide from February through April 2005 |
| Executive branch: | chief of state: King and Prime Minister ABDALLAH bin Abd al-Aziz Al Saud (since 1 August 2005); Heir Apparent Crown Prince SULTAN bin Abd al- Aziz Al Saud (half brother of the monarch, born 5 January 1928) note - the monarch is both the chief of state and head of government |
| Executive branch: | head of government: King and Prime Minister ABDALLAH bin Abd al-Aziz Al Saud (since 1 August 2005); Heir Apparent Crown Prince SULTAN bin Abd al- Aziz Al Saud (half brother of the monarch, born 5 January 1928) note - the monarch is both the chief of state and head of government |
| Executive branch: | cabinet: Council of Ministers is appointed by the monarch and includes many royal family members |
| Executive branch: | elections: none; the monarch is hereditary |
| Legislative branch: | Consultative Council or Majlis al-Shura (120 members and a chairman appointed by the monarch for four-year terms); note - in October 2003, Council of Ministers announced its intent to introduce elections for half of the members of local and provincial assemblies and a third of the members of the national Consultative Council or Majlis al-Shura, incrementally over a period of four to five years; in November 2004, the Ministry of Municipal and Rural Affairs initiated voter registration for partial municipal council elections held nationwide from February through April 2005 |
| Judicial branch: | Supreme Council of Justice |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | none |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, BIS, FAO, G-77, GCC, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IPU, ISO, ITU, LAS, MIGA, NAM, OAPEC, OAS (observer), OIC, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UNRWA, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO, WToO |
| Diplomatic representation in the US: | chief of mission: Ambassador TURKI al-Faysal bin Abd al-Aziz Al Saud |
| Diplomatic representation in the US: | chancery: 601 New Hampshire Avenue NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 342-3800 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-3113 |
| Diplomatic representation in the US: | consulate(s) general: Houston, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador James C. OBERWETTER |
| Diplomatic representation from the US: | embassy: Collector Road M, Diplomatic Quarter, Riyadh |
| Diplomatic representation from the US: | mailing address: American Embassy, Unit 61307, APO AE 09803-1307; International Mail: P. O. Box 94309, Riyadh 11693 |
| Diplomatic representation from the US: | telephone: [966] (1) 488-3800 |
| Diplomatic representation from the US: | FAX: [966] (1) 488-3989 |
| Diplomatic representation from the US: | consulate(s) general: Dhahran, Jiddah (Jeddah) |
| Flag description: | green, a traditional color in Islamic flags, with the Shahada or Muslim creed in large white Arabic script (translated as "There is no god but God; Muhammad is the Messenger of God") above a white horizontal saber (the tip points to the hoist side); design dates to the early twentieth century and is closely associated with the Al Saud family which established the kingdom in 1932 |
