| Government | Seychelles |
| --- | --- |
| Country name: | conventional long form: Republic of Seychelles |
| Country name: | conventional short form: Seychelles |
| Country name: | local long form: Republic of Seychelles |
| Country name: | local short form: Seychelles |
| Government type: | republic |
| Capital: | name: Victoria |
| Capital: | geographic coordinates: 4 37 S, 55 27 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 25 administrative districts; Anse aux Pins, Anse Boileau, Anse Etoile, Anse Royale, Au Cap, Baie Lazare, Baie Sainte Anne, Beau Vallon, Bel Air, Bel Ombre, Cascade, Glacis, Grand Anse Mahe, Grand Anse Praslin, Inner Islands, La Riviere Anglaise, Les Mamalles, Mont Buxton, Mont Fleuri, Plaisance, Pointe Larue, Port Glaud, Roche Caiman, Saint Louis, Takamaka |
| Independence: | 29 June 1976 (from the UK) |
| National holiday: | Constitution Day (National Day), 18 June (1993) |
| Constitution: | previous 1970, 1979; latest drafted May 1993, approved by referendum 18 June 1993, effective 23 June 1993; amended many times, last in 2011 (2011) |
| Legal system: | mixed legal system of English common law, French civil law, and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President James Alix MICHEL (since 14 April 2004); Vice President Danny FAURE (since 1 July 2010); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President James Alix MICHEL (since 14 April 2004); Vice President Danny FAURE (since 1 July 2010) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for two more terms); election last held on 19-21 May 2011 (next to be held in 2016) |
| Executive branch: | election results: President James MICHEL elected president; percent of vote - James MICHEL 55.5%, Wavel RAMKALAWAN 41.4%, Philippe BOULLE 1.7%, Ralph VOLCERE 1.5%; note - this was the second election in which President James MICHEL participated; he was originally sworn in as president after former president France Albert RENE stepped down in April 2004 |
| Legislative branch: | unicameral National Assembly or Assemblee Nationale (34 seats; 25 members elected by popular vote, 9 allocated on a proportional basis to parties winning at least 10% of the vote; members to serve five-year terms) |
| Legislative branch: | elections: last held on 29 September - 1 October 2011 (next to be held in 2016); note - the National Assembly was dissolved in July 2011 resulting in early elections |
| Legislative branch: | election results: percent of vote by party - PL 88.6%, PDM 10.9%, independents 0.6%; seats by party - PL 31, PDM 1, vacant 2; note - the ruling SPPF changed its name to People's Party (Party Lepep) in June 2009; the SNP and NDP boycotted the 2011 elections |
| Judicial branch: | highest court(s): Seychelles Court of Appeal (consists of the court president and 4 justices; Supreme Court of Seychelles (consists of the chief justice and 5 pusine judges); Constitutional Court (consists of 3 Supreme Court judges) |
| Judicial branch: | judge selection and term of office: all judges appointed by the president of the republic upon the recommendation of the Constitutional Appointments Committee, a 3-member body, with 1 member appointed by the president of the republic, 1 by the opposition leader in the National Assembly, and 1 by the other 2 appointees; judges appointed until retirement at age 70 |
| Judicial branch: | subordinate courts: Magistrates' Courts of Seychelles; Family Tribunal for issues such as domestic violence, and child custody and maintenance |
| Political parties and leaders: | Democratic Party or DP [Paul CHOW] |
| Political parties and leaders: | People's Party (Parti Lepep) or PL [James Alix MICHEL] |
| Political parties and leaders: | Popular Democratic Movement or PDM [David PIERRE] |
| Political parties and leaders: | Seychelles National Party or SNP [Wavel RAMKALAWAN] (formerly the United Opposition or UO) |
| Political parties and leaders: | Seychelles United Party or SUP [Ralph VOLCERE] |
| Political pressure groups and leaders: | Roman Catholic Church |
| Political pressure groups and leaders: | other: trade unions |
| International organization participation: | ACP, AfDB, AOSIS, AU, C, CD, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, InOC, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, MIGA, NAM, OIF, OPCW, SADC, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Marie-Louise Cecile POTTER (since 6 September 2012) |
| Diplomatic representation in the US: | chancery: 800 Second Avenue, Suite 400C, New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1] (212) 972-1785 |
| Diplomatic representation in the US: | FAX: [1] (212) 972-1786 |
| Diplomatic representation from the US: | the US does not have an embassy in Seychelles; the US Ambassador to Mauritius is accredited to Seychelles |
| Flag description: | five oblique bands of blue (hoist side), yellow, red, white, and green (bottom) radiating from the bottom of the hoist side; the oblique bands are meant to symbolize a dynamic new country moving into the future; blue represents sky and sea, yellow the sun giving light and life, red the peoples' determination to work for the future in unity and love, white social justice and harmony, green the land and natural environment |
| National anthem: | name: "Koste Seselwa" (Seychellois Unite) |
| National anthem: | lyrics/music: David Francois Marc ANDRE and George Charles Robert PAYET |
| National anthem: | note: adopted 1996 |
