| Government | Sweden |
| --- | --- |
| Country name: | conventional long form: Kingdom of Sweden |
| Country name: | conventional short form: Sweden |
| Country name: | local long form: Konungariket Sverige |
| Country name: | local short form: Sverige |
| Country name: | etymology: name ultimately derives from the North Germanic Svear tribe, which inhabited central Sweden and is first mentioned in the first centuries A.D. |
| Government type: | parliamentary constitutional monarchy |
| Capital: | name: Stockholm |
| Capital: | geographic coordinates: 59 20 N, 18 03 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | etymology: "stock" and "holm" literally mean "log" and "islet" in Swedish, but there is no consensus as to what the words refer to |
| Administrative divisions: | 21 counties (lan, singular and plural); Blekinge, Dalarna, Gavleborg, Gotland, Halland, Jamtland, Jonkoping, Kalmar, Kronoberg, Norrbotten, Orebro, Ostergotland, Skane, Sodermanland, Stockholm, Uppsala, Varmland, Vasterbotten, Vasternorrland, Vastmanland, Vastra Gotaland |
| Independence: | 6 June 1523 (Gustav VASA elected king of Sweden, marking the abolishment of the Kalmar Union between Denmark, Norway, and Sweden) |
| National holiday: | National Day, 6 June (1983); note - from 1916 to 1982 this date was celebrated as Swedish Flag Day |
| Constitution: | history: several previous; latest adopted 1 January 1975 |
| Constitution: | amendments: proposed by Parliament; passage requires simple majority vote in two consecutive parliamentary terms with an intervening general election; passage also requires approval by simple majority vote in a referendum if Parliament approves a motion for a referendum by one third of its members; amended several times, last in 2014 (changes to the "Instrument of Government") |
| Legal system: | civil law system influenced by Roman-Germanic law and customary law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Sweden; in the case of a child born out of wedlock, the mother must be a citizen of Sweden and the father unknown |
| Citizenship: | dual citizenship recognized: no, unless the other citizenship was acquired involuntarily |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King CARL XVI GUSTAF (since 15 September 1973); Heir Apparent Princess VICTORIA Ingrid Alice Desiree (daughter of the monarch, born 14 July 1977) |
