| Government | East Timor |
| --- | --- |
| Country name: | conventional long form: Democratic Republic of Timor-Leste |
| Country name: | conventional short form: East Timor |
| Country name: | local short form: Timor Lorosa'e [Tetum]; Timor-Leste [Portuguese] |
| Country name: | former: Portuguese Timor |
| Country name: | local long form: Republika Demokratika Timor Lorosa'e [Tetum]; Republica Democratica de Timor-Leste [Portuguese] |
| Government type: | republic |
| Capital: | Dili |
| Administrative divisions: | 13 administrative districts; Aileu, Ainaro, Baucau, Bobonaro (Maliana), Cova-Lima (Suai), Dili, Ermera, Lautem (Los Palos), Liquica, Manatuto, Manufahi (Same), Oecussi (Ambeno), Viqueque |
| Independence: | 28 November 1975 (date of proclamation of independence from Portugal); note - 20 May 2002 is the official date of international recognition of East Timor's independence from Indonesia |
| National holiday: | Independence Day, 28 November (1975) |
| Constitution: | 22 March 2002 (based on the Portuguese model) |
| Legal system: | UN-drafted legal system based on Indonesian law (2002) |
| Suffrage: | 17 years of age; universal |
| Executive branch: | chief of state: President Jose Alexander GUSMAO (since 20 May 2002); note - the president plays a largely symbolic role but is able to veto some legislation; he often is referred to as Xanana GUSMAO |
| Executive branch: | head of government: Prime Minister Mari Bin Amude ALKATIRI (since 20 May 2002) |
| Executive branch: | cabinet: Council of State |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 14 April 2002 (next to be held NA April 2007); after the first legislative elections, the leader of the majority party was appointed prime minister by the president, suggesting a precedent for the future |
| Executive branch: | election results: Jose Alexander GUSMAO elected president; percent of vote - Jose Alexander GUSMAO 82.7%, Francisco Xavier do AMARAL 17.3% |
| Legislative branch: | unicameral National Parliament (number of seats can vary, minimum requirement of 52 and a maximum of 65 seats; members elected by popular vote to serve five-year terms); note - for its first term of office, the National Parliament is comprised of 88 members on an exceptional basis |
| Legislative branch: | elections: last held 30 August 2001 (next to be held NA August 2006) |
| Legislative branch: | election results: percent of vote by party - FRETILIN 57.37%, PD 8.72%, PSD 8.18%, ASDT 7.84%, UDT 2.36%, PNT 2.21%, KOTA 2.13%, PPT 2.01%, PDC 1.98%, PST 1.78%, independents/other 5.42%; seats by party - FRETILIN 55, PD 7, PSD 6, ASDT 6, PDC 2, UDT 2, KOTA 2, PNT 2, PPT 2, UDC/PDC 1, PST 1, PL 1, independent 1 |
| Judicial branch: | Supreme Court of Justice, one judge appointed by the National Parliament and the rest appointed by the Superior Council for the Judiciary |
| Political parties and leaders: | Associacao Social-Democrata Timorense or ASDT [Francisco Xavier do AMARAL]; Christian Democratic Party of Timor or PDC [Antonio XIMENES]; Christian Democratic Union of Timor or UDC [Vicente da Silva GUTERRES]; Democratic Party or PD [Fernando de ARAUJO]; Liberal Party or PL [leader NA]; Maubere Democratic Party or PDM [leader NA]; People's Party of Timor or PPT [Jacob XAVIER]; Revolutionary Front of Independent East Timor or FRETILIN [Lu OLO]; Social Democrat Party of East Timor or PSD [Mario CARRASCALAO]; Socialist Party of Timor or PST [leader NA]; Sons of the Mountain Warriors (also known as Association of Timorese Heroes) or KOTA [Clementino dos Reis AMARAL]; Timor Democratic Union or UDT [Joao CARRASCALAO]; Timor Labor Party or PTT [Paulo Freitas DA SILVA]; Timorese Nationalist Party or PNT [Abilio ARAUJO]; Timorese Popular Democratic Association or APODETI [Frederico Almeida-Santos DA COSTA] |
| Political pressure groups and leaders: | NA |
| International organization participation: | AsDB, IBRD, ICCt, IDA, IMF, Interpol, UN, WHO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jose Luis GUTERRES |
| Diplomatic representation in the US: | consulate(s) general: New York (the ambassador resides in New York) (2003) |
| Diplomatic representation in the US: | FAX: 202 965-1517 |
| Diplomatic representation in the US: | telephone: 202 965-1515 |
| Diplomatic representation in the US: | chancery: 3415 Massachusetts Avenue, Washington, DC 20007 |
| Diplomatic representation from the US: | chief of mission: Ambassador Grover Joseph REES |
| Diplomatic representation from the US: | embassy: Vila 10, Avenida de Portugal, Farol, Dili |
| Diplomatic representation from the US: | mailing address: Department of State, 8250 Dili Place, Washington, DC 20521-8250 |
| Diplomatic representation from the US: | telephone: (670) 332-4684, 331-3205/3160/3472 |
| Diplomatic representation from the US: | FAX: (670) 331-3206 |
| Flag description: | red, with a black isosceles triangle (based on the hoist side) superimposed on a slightly longer yellow arrowhead that extends to the center of the flag; there is a white star in the center of the black triangle |
