| Government | Turks and Caicos Islands |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Turks and Caicos Islands |
| Country name: | abbreviation: TCI |
| Dependency status: | overseas territory of the UK |
| Government type: | NA |
| Capital: | name: Grand Turk (Cockburn Town) |
| Capital: | geographic coordinates: 21 28 N, 71 08 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November |
| Administrative divisions: | none (overseas territory of the UK) |
| Independence: | none (overseas territory of the UK) |
| National holiday: | Constitution Day, 30 August (1976) |
| Constitution: | several previous; latest signed 7 August 2012, effective 15 October 2012 (Turks and Caicos Constitution Order 2011) (2012) |
| Legal system: | mixed legal system of English common law and civil law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor Peter BECKINGHAM (since 9 October 2013) |
| Executive branch: | head of government: Premier Rufus EWING (since 13 November 2012) |
| Executive branch: | cabinet: consists of the governor, the premier, six ministers appointed by the governor from among the members of the House of Assembly, and the attorney general |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarch is hereditary; governor appointed by the monarch; following legislative elections, the leader of the majority party is appointed premier by the governor |
| Executive branch: | note: the UK foreign minister has determined that sufficient progress has been made to reinstate local government under a new constitution that came into effect in October 2012 |
| Legislative branch: | unicameral House of Assembly consisting of 19 seats, 15 elected and 4 appointed by the governor; of elected members, five are elected at large and 10 from single member districts for four-year terms |
| Legislative branch: | elections: last held on 9 November 2012 (next to be held in 2016) |
| Legislative branch: | election results: percent of vote - NA; seats by party - PNP 8, PDM 7 |
| Judicial branch: | highest court(s): Supreme Court (consists of the chief justice and such number of other judges as determined by the governor); Court of Appeal (consists of the court president and 2 justices) |
| Judicial branch: | note - appeals beyond the Supreme Court are heard by the Judicial Committee of the Privy Council, in London |
| Judicial branch: | judge selection and term of office: Supreme Court and Appeals Court judges appointed by the governor in accordance with the Judicial Service Commission, a 3-member body of high level judicial officials; Supreme Court judges appointed until mandatory retirement at age 65, but can be extended to age 70; Appeals Court judge tenure determined by individual terms of appointment |
| Judicial branch: | subordinate courts: magistrates' courts |
| Political parties and leaders: | People's Democratic Movement or PDM [Oswald SKIPPINGS] |
| Political parties and leaders: | People's Progressive Party [NA] |
| Political parties and leaders: | Progressive National Party or PNP [Rufus EWING] |
| Political pressure groups and leaders: | NA |
| International organization participation: | Caricom (associate), CDB, Interpol (subbureau), UPU |
| Diplomatic representation in the US: | none (overseas territory of the UK) |
| Diplomatic representation from the US: | none (overseas territory of the UK) |
| Flag description: | blue, with the flag of the UK in the upper hoist-side quadrant and the colonial shield centered on the outer half of the flag; the shield is yellow and displays a conch shell, a spiny lobster, and Turks Head cactus - three common elements of the islands' biota |
| National anthem: | name: "This Land of Ours" |
| National anthem: | lyrics/music: Conrad HOWELL |
| National anthem: | note: serves as a local anthem; as a territory of the United Kingdom, "God Save the Queen" is the official anthem (see United Kingdom) |
