| Government | Tuvalu |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Tuvalu |
| Country name: | local long form: none |
| Country name: | local short form: Tuvalu |
| Country name: | former: Ellice Islands |
| Country name: | note: "Tuvalu" means "group of eight" referring to the country's eight traditionally inhabited islands |
| Government type: | parliamentary democracy and a Commonwealth realm |
| Capital: | name: Funafuti |
| Capital: | geographic coordinates: 8 30 S, 179 12 E |
| Capital: | time difference: UTC+12 (17 hours ahead of Washington, DC during Standard Time) |
| Capital: | note: administrative offices are in Vaiaku Village on Fongafale Islet |
| Administrative divisions: | none |
| Independence: | 1 October 1978 (from the UK) |
| National holiday: | Independence Day, 1 October (1978) |
| Constitution: | 1 October 1978 |
| Legal system: | mixed legal system of English common law and local customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Iakoba TAEIA Italeli (since May 2010) |
| Executive branch: | head of government: Prime Minister Willie TELAVI (since 24 December 2010) |
| Executive branch: | cabinet: Cabinet appointed by the governor general on the recommendation of the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the monarchy is hereditary; governor general appointed by the monarch on the recommendation of the prime minister; prime minister and deputy prime minister elected by and from the members of parliament following parliamentary elections |
| Executive branch: | election results: Willie TELAVI elected prime minister in a parliamentary election on 24 December 2010 following a no-confidence vote on 21 December 2010 that ousted Maatia TOAFA |
| Legislative branch: | unicameral Parliament or Fale I Fono, also called House of Assembly (15 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 16 September 2010 (next to be held in 2014) |
| Legislative branch: | election results: percent of vote - NA; seats - independents 15; 10 members reelected |
| Judicial branch: | High Court (a chief justice visits twice a year to preside over its sessions; its rulings can be appealed to the Court of Appeal in Fiji); eight Island Courts (with limited jurisdiction) |
| Political parties and leaders: | there are no political parties but members of parliament usually align themselves in informal groupings |
| Political pressure groups and leaders: | none |
| International organization participation: | ACP, ADB, AOSIS, C, FAO, IBRD, IDA, IFRCS (observer), ILO, IMF, IMO, IOC, ITU, OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO |
| Diplomatic representation in the US: | Tuvalu does not have an embassy in the US - the country's only diplomatic post is in Fiji - Tuvalu does, however, have a UN office located at 800 2nd Avenue, Suite 400D, New York, NY 10017, telephone: [1] (212) 490-0534, fax: [1] (212) 937-0692 |
| Diplomatic representation from the US: | the US does not have an embassy in Tuvalu; the US ambassador to Fiji is accredited to Tuvalu |
| Flag description: | light blue with the flag of the UK in the upper hoist-side quadrant; the outer half of the flag represents a map of the country with nine yellow, five-pointed stars on a blue field symbolizing the nine atolls in the ocean |
| National anthem: | name: "Tuvalu mo te Atua" (Tuvalu for the Almighty) |
| National anthem: | lyrics/music: Afaese MANOA |
| National anthem: | note: adopted 1978; the anthem's name is also the nation's motto |
