| Government | Sudan |
| --- | --- |
| Country name: | conventional long form: Republic of the Sudan |
| Country name: | conventional short form: Sudan |
| Country name: | local long form: Jumhuriyat as-Sudan |
| Country name: | local short form: As-Sudan |
| Country name: | former: Anglo-Egyptian Sudan |
| Government type: | Government of National Unity (GNU) - the National Congress Party (NCP) and Sudan People's Liberation Movement (SPLM) formed a power-sharing government under the 2005 Comprehensive Peace Agreement (CPA); the NCP, which came to power by military coup in 1989, is the majority partner; the agreement stipulates national elections in 2009 |
| Capital: | name: Khartoum |
| Capital: | geographic coordinates: 15 36 N, 32 32 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 25 states (wilayat, singular - wilayah); A'ali an Nil (Upper Nile), Al Bahr al Ahmar (Red Sea), Al Buhayrat (Lakes), Al Jazira (Gezira), Al Khartoum (Khartoum), Al Qadarif (Gedaref), Al Wahda (Unity), An Nil al Abyad (White Nile), An Nil al Azraq (Blue Nile), Ash Shimaliyya (Northern), Bahr al Jabal (Central Equatoria), Gharb al Istiwa'iyya (Western Equatoria), Gharb Bahr al Ghazal (Western Bahr el Ghazal), Gharb Darfur (Western Darfur), Janub Darfur (Southern Darfur), Janub Kurdufan (Southern Kordofan), Junqoley (Jonglei), Kassala (Kassala), Nahr an Nil (River Nile), Shimal Bahr al Ghazal (Northern Bahr el Ghazal), Shimal Darfur (Northern Darfur), Shimal Kurdufan (Northern Kordofan), Sharq al Istiwa'iyya (Eastern Equatoria), Sinnar (Sinnar), Warab (Warab) |
| Independence: | 1 January 1956 (from Egypt and the UK) |
| National holiday: | Independence Day, 1 January (1956) |
| Constitution: | Interim National Constitution ratified 5 July 2005 |
| Constitution: | note: under the Comprehensive Peace Agreement, the Interim National Constitution was ratified 5 July 2005; Constitution of Southern Sudan was signed December 2005 |
| Legal system: | based on English common law and Islamic law; as of 20 January 1991, the now defunct Revolutionary Command Council imposed Islamic law in the northern states; Islamic law applies to all residents of the northern states regardless of their religion; however, the CPA establishes some protections for non-Muslims in Khartoum; some separate religious courts; accepts compulsory ICJ jurisdiction with reservations; the southern legal system is still developing under the CPA following the civil war; Islamic law will not apply to the southern states |
| Suffrage: | 17 years of age; universal |
| Executive branch: | chief of state: President Umar Hassan Ahmad al-BASHIR (since 16 October 1993); First Vice President Salva KIIR (since 4 August 2005), Vice President Ali Osman TAHA (since 20 September 2005); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Umar Hassan Ahmad al-BASHIR (since 16 October 1993); First Vice President Salva KIIR (since 4 August 2005), Vice President Ali Osman TAHA (since 20 September 2005) |
| Executive branch: | cabinet: Council of Ministers appointed by the president; note - the National Congress Party or NCP (formerly the National Islamic Front or NIF) dominates al-BASHIR's cabinet |
| Executive branch: | elections: election last held 13-23 December 2000; next to be held February 2010 |
| Executive branch: | election results: Umar Hassan Ahmad al-BASHIR reelected president; percent of vote - Umar Hassan Ahmad al-BASHIR 86.5%, Ja'afar Muhammed NUMAYRI 9.6%, three other candidates received a combined vote of 3.9%; election widely viewed as rigged; all popular opposition parties boycotted elections because of a lack of guarantees for a free and fair election |
| Executive branch: | note: al-BASHIR assumed power as chairman of Sudan's Revolutionary Command Council for National Salvation (RCC) in June 1989 and served concurrently as chief of state, chairman of the RCC, prime minister, and minister of defense until mid-October 1993 when he was appointed president by the RCC; he was elected president by popular vote for the first time in March 1996 |
| Legislative branch: | bicameral National Legislature consists of a Council of States (50 seats; members indirectly elected by state legislatures to serve six-year terms) and a National Assembly (450 seats; members presently appointed, but in the future 60% from geographic constituencies, 25% from a women's list, and 15% from party lists; to serve six-year terms) |
| Legislative branch: | elections: last held 13-22 December 2000 (next to be held February 2010) |
| Legislative branch: | election results: NCP 355, others 5; note - replaced by appointments under the 2005 Comprehensive Peace Agreement |
| Judicial branch: | Constitutional Court of nine justices; National Supreme Court; National Courts of Appeal; other national courts; National Judicial Service Commission will undertake overall management of the National Judiciary |
| Political parties and leaders: | National Congress Party or NCP [Umar Hassan al-BASHIR]; Sudan People's Liberation Movement or SPLM [Salva KIIR]; and elements of the National Democratic Alliance or NDA including factions of the Democratic Union Party [Muhammad Uthman al-MIRGHANI] and Umma Party; Popular Congress Party or PCP [Hassan al-TURABI] |
