| Government | Guatemala |
| --- | --- |
| Country name: | conventional long form: Republic of Guatemala |
| Country name: | conventional short form: Guatemala |
| Country name: | local long form: Republica de Guatemala |
| Country name: | local short form: Guatemala |
| Government type: | constitutional democratic republic |
| Capital: | name: Guatemala City |
| Capital: | geographic coordinates: 14 37 N, 90 31 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC during Standard Time) |
| Administrative divisions: | 22 departments (departamentos, singular - departamento); Alta Verapaz, Baja Verapaz, Chimaltenango, Chiquimula, El Progreso, Escuintla, Guatemala, Huehuetenango, Izabal, Jalapa, Jutiapa, Peten, Quetzaltenango, Quiche, Retalhuleu, Sacatepequez, San Marcos, Santa Rosa, Solola, Suchitepequez, Totonicapan, Zacapa |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | 31 May 1985, effective 14 January 1986; suspended 25 May 1993; reinstated 5 June 1993; amended November 1993 |
| Legal system: | civil law system; judicial review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal; note - active duty members of the armed forces may not vote and are restricted to their barracks on election day |
| Executive branch: | chief of state: President Alvaro COLOM Caballeros (since 14 January 2008); Vice President Jose Rafael ESPADA (since 14 January 2008); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Alvaro COLOM Caballeros (since 14 January 2008); Vice President Jose Rafael ESPADA (since 14 January 2008) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for a four-year term (may not serve consecutive terms); election last held on 9 September 2007; runoff held on 4 November 2007 (next to be held in September 2011) |
| Executive branch: | election results: Otto PEREZ Molina elected president in a runoff election; percent of vote - Otto PEREZ Molina 53.7%, Manuel BALDIZON 47.2%; note - Otto PEREZ Molina will take office on 14 January 2012 |
| Legislative branch: | unicameral Congress of the Republic or Congreso de la Republica (158 seats; members elected through a party list proportional representation system) |
| Legislative branch: | elections: last held on 9 September 2007 (next to be held in September 2011) |
| Legislative branch: | election results: percent of vote by party - UNE 30.4%, GANA 23.4%, PP 18.9%, FRG 9.5%, PU 5.1%, other 12.7%; seats by party - UNE 48, GANA 37, PP 30, FRG 15, PU 8, CASA 5, EG 4, PAN 4, UCN 4, URNG 2, UD 1 |
| Judicial branch: | Constitutional Court or Corte de Constitucionalidad is Guatemala's highest court (five judges are elected by Congress for concurrent five-year terms); Supreme Court of Justice or Corte Suprema de Justicia (13 members are elected by Congress to serve concurrent five-year terms and elect a president of the Court each year from among their number; the president of the Supreme Court of Justice also supervises trial judges around the country, who are named to five-year terms) |
