| Government | Honduras |
| --- | --- |
| Country name: | conventional long form: Republic of Honduras |
| Country name: | conventional short form: Honduras |
| Country name: | local long form: Republica de Honduras |
| Country name: | local short form: Honduras |
| Government type: | democratic constitutional republic |
| Capital: | name: Tegucigalpa |
| Capital: | geographic coordinates: 14 06 N, 87 13 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC during Standard Time) |
| Capital: | daylight saving time: none scheduled for 2013 |
| Administrative divisions: | 18 departments (departamentos, singular - departamento); Atlantida, Choluteca, Colon, Comayagua, Copan, Cortes, El Paraiso, Francisco Morazan, Gracias a Dios, Intibuca, Islas de la Bahia, La Paz, Lempira, Ocotepeque, Olancho, Santa Barbara, Valle, Yoro |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | several previous; latest approved 11 January 1982, effective 20 January 1982; amended many times, last in 2012 (2013) |
| Legal system: | civil law system |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Porfirio LOBO Sosa (since 27 January 2010); Vice President Maria Antonieta GUILLEN de Bogran (since 27 January 2010); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Porfirio LOBO Sosa (since 27 January 2010); Vice President Maria Antonieta GUILLEN de Bogran (since 27 January 2010) |
| Executive branch: | cabinet: Cabinet appointed by president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a four-year term; election last held on 29 November 2009 (next to be held in November 2013) |
| Executive branch: | election results: Porfirio LOBO Sosa elected president; percent of vote - Porfirio LOBO Sosa 56.3%, Elvin SANTOS Lozano 38.1%, other 5.6% |
| Legislative branch: | unicameral National Congress or Congreso Nacional (128 seats; members elected proportionally by department to serve four-year terms) |
| Legislative branch: | elections: last held on 29 November 2009 (next to be held in November 2013) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - PNH 71, PL 45, DC 5, UD 4, PINU 3 |
| Judicial branch: | highest court(s): Supreme Court of Justice or Corte Suprema de Justicia (9 principal judges - including the court president - and 7 alternates; court organized into civil, criminal, and labor chambers); note - the court has both judicial and constitutional jurisdiction |
| Judicial branch: | judge selection and term of office: court president elected by his peers; judges elected by the National Congress from candidates proposed by the Nominating Board, a diverse 7-member group of  judicial officials, other government and non-government officials selected by each of their organizations; judges elected by Congress for renewable, 7-year terms |
| Judicial branch: | subordinate courts: courts of appeal; courts of first instance; peace courts |
| Political parties and leaders: | Anti-Corruption Party or PAC [Salvador NASRALLA] |
| Political parties and leaders: | Christian Democratic Party or DC [Felicito AVILA Ordonez] |
| Political parties and leaders: | Broad Political Electoral Front in Resistance or FAPER [Andres PAVON] |
| Political parties and leaders: | Democratic Unification Party or UD [Cesar HAM] |
| Political parties and leaders: | Freedom and Refounding Party or LIBRE [Jose Manuel ZELAYA Rosales] |
| Political parties and leaders: | Liberal Party or PL [Elvin SANTOS Brito] |
| Political parties and leaders: | National Party of Honduras or PNH [Ricardo ALVAREZ] |
| Political parties and leaders: | Social Democratic Innovation and Unity Party or PINU [Jorge Rafael AGUILAR Paredes] |
| Political pressure groups and leaders: | Beverage and Related Industries Syndicate or STIBYS |
| Political pressure groups and leaders: | Committee for the Defense of Human Rights in Honduras or CODEH |
| Political pressure groups and leaders: | Confederation of Honduran Workers or CTH |
| Political pressure groups and leaders: | Coordinating Committee of Popular Organizations or CCOP |
| Political pressure groups and leaders: | General Workers Confederation or CGT |
| Political pressure groups and leaders: | Honduran Council of Private Enterprise or COHEP |
| Political pressure groups and leaders: | National Association of Honduran Campesinos or ANACH |
| Political pressure groups and leaders: | National Union of Campesinos or UNC |
| Political pressure groups and leaders: | Popular Bloc or BP |
| Political pressure groups and leaders: | United Confederation of Honduran Workers or CUTH |
| Political pressure groups and leaders: | United Farm Workers' Movement of the Aguan (MUCA) |
| International organization participation: | BCIE, CACM, CD, CELAC, FAO, G-11, G-77, IADB, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC (suspended), IOM, IPU, ISO (subscriber), ITSO, ITU, ITUC (NGOs), LAES, LAIA (observer), MIGA, MINURSO, NAM, OAS (suspended), OPANAL, OPCW, PCA, Petrocaribe, SICA, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO (suspended), WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jorge Ramon HERNANDEZ-Alcerro (since 9 June 2010) |
| Diplomatic representation in the US: | chancery: Suite 4-M, 3007 Tilden Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 966-2604 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-9751 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Belmont (MA), Chicago, Houston, Los Angeles, Miami, New Orleans, New York, Phoenix, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Lisa J. KUBISKE (since 26 July 2011) |
| Diplomatic representation from the US: | embassy: Avenida La Paz, Apartado Postal No. 3453, Tegucigalpa |
| Diplomatic representation from the US: | mailing address: American Embassy, APO AA 34022, Tegucigalpa |
| Diplomatic representation from the US: | telephone: [504] 2236-9320, 2238-5114 |
