| Government | AUSTRIA |
| --- | --- |
| Country name: | conventional long form: Republic of Austria |
| Country name: | conventional short form: Austria |
| Country name: | local long form: Republik Oesterreich |
| Country name: | local short form: Oesterreich |
| Country name: | etymology: the name Oesterreich means "eastern realm" or "eastern march" and dates to the 10th century; the designation refers to the fact that Austria was the easternmost extension of Bavaria, and in fact of all the Germans; the word Austria is a Latinization of the German name |
| Government type: | federal parliamentary republic |
| Capital: | name: Vienna |
| Capital: | geographic coordinates: 48 12 N, 16 22 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 9 states (Bundeslaender, singular - Bundesland); Burgenland, Kaernten (Carinthia), Niederoesterreich (Lower Austria), Oberoesterreich (Upper Austria), Salzburg, Steiermark (Styria), Tirol (Tyrol), Vorarlberg, Wien (Vienna) |
| Independence: | 12 November 1918 (republic proclaimed); notable earlier dates: 976 (Margravate of Austria established); 17 September 1156 (Duchy of Austria founded); 11 August 1804 (Austrian Empire proclaimed) |
| National holiday: | National Day (commemorates passage of the law on permanent neutrality), 26 October (1955) |
| Constitution: | history: several previous; latest adopted 1 October 1920, revised 1929, replaced May 1934 (authoritarian corporate state), replaced by German Weimar constitution in 1938 following German annexation, reinstated 1 May 1945 |
| Constitution: | amendments: proposed through laws designated “constitutional laws” or through the constitutional process if the amendment is part of another law; approval required by at least a two-thirds majority vote by the National Assembly if one-half of the members are present; a referendum is required only if requested by one-third of the National Council or Federal Council membership; passage by referendum requires absolute majority vote; amended many times, last in 2014 (2016) |
| Legal system: | civil law system; judicial review of legislative acts by the Constitutional Court |
| International law organization participation: | accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Austria |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 16 years of age; universal |
| Executive branch: | chief of state: Alexander VAN DER BELLEN (since 26 January 2017) |
| Executive branch: | head of government: Chancellor Christian KERN (since 17 May 2016); Vice Chancellor Wolfgang BRANDSTETTER (since 17 May 2017) |
| Executive branch: | cabinet: Council of Ministers chosen by the president on the advice of the chancellor |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 6-year term (eligible for a second term); elections last held on 24 April 2016 (first round), 22 May 2016 (second round, which was annulled), and 4 December 2016 (second round re-vote); next election to be held in April 2022; chancellor appointed by the president but determined by the majority coalition parties in the Federal Assembly; vice chancellor appointed by the president on the advice of the chancellor |
| Executive branch: | election results: percent of vote: first-round results - Norbet HOFER (FPOe) 35.1%, Alexander VAN DER BELLEN (independent, allied with the Greens) 21.3%, Irmgard GRISS (independent) 18.9%, Rudolf HUNDSTORFER (SPOe) 11.3%, Andreas KHOL (OeVP) 11.1%, Richard LUGNER (independent) 2.3%; second round results - Alexander VAN DER BELLEN 53.8%, Norbet HOFER 46.2% |
