| Government | Bosnia and Herzegovina |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Bosnia and Herzegovina |
| Country name: | local long form: none |
| Country name: | local short form: Bosna i Hercegovina |
| Country name: | former: People's Republic of Bosnia and Herzegovina, Socialist Republic of Bosnia and Herzegovina |
| Government type: | emerging federal democratic republic |
| Capital: | name: Sarajevo |
| Capital: | geographic coordinates: 43 52 N, 18 25 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 2 first-order administrative divisions and 1 internationally supervised district* - the Bosniak/Croat Federation of Bosnia and Herzegovina (Federacija Bosne i Hercegovine), the Bosnian Serb-led Republika Srpska, Brcko District (Brcko Distrikt)*; note - Brcko District is in northeastern Bosnia and is a self-governing administrative unit under the sovereignty of Bosnia and Herzegovina and formally held in condominium between the two entities |
| Independence: | 1 March 1992 (from Yugoslavia; referendum for independence completed on 1 March 1992; independence declared on 3 March 1992) |
| National holiday: | National Day (Statehood Day), 25 November (1943); note - observed only in the Federation of Bosnia and Herzegovina entity |
| Constitution: | 14 December 1995 (constitution included as part of the Dayton Peace Accords); amended several times, last in 2003; note - each of the entities has its own constitution (2011) |
| Legal system: | civil law system; Constitutional Court review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age, 16 if employed; universal |
| Executive branch: | chief of state: Chairman of the Presidency Bakir IZETBEGOVIC (chairman since 10 March 2014; presidency member since 10 November 2010 - Bosniak) ; other members of the three-member presidency rotate every eight months: Zeljko KOMSIC (presidency member since 6 November 2006 - Croat); Nebojsa RADMANOVIC (presidency member since 6 November 2006 - Serb) |
| Executive branch: | head of government: Chairman of the Council of Ministers Vjekoslav BEVANDA (since 12 January 2012) |
| Executive branch: | cabinet: Council of Ministers nominated by the council chairman; approved by the state-level House of Representatives |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the three members of the presidency (one Bosniak, one Croat, one Serb) elected by popular vote for a four-year term (eligible for a second term, but then ineligible for four years) by constituencies referring to the three ethnic groups; the candidate with the most votes in a constituency is elected; the chairmanship rotates every eight months and resumes where it left off following each general election; election last held on 3 October 2010 (next to be held in October 2014); the chairman of the Council of Ministers appointed by the presidency and confirmed by the state-level House of Representatives |
| Executive branch: | election results: percent of vote - Nebojsa RADMANOVIC with 48.9% of the votes for the Serb seat; Zeljko KOMSIC with 60.6% of the votes for the Croat seat; Bakir IZETBEGOVIC with 34.9% of the votes for the Bosniak seat |
| Executive branch: | note: President of the Federation of Bosnia and Herzegovina Zivko BUDIMIR (since 17 March 2011); Vice Presidents Svetozar PUDARIC (since 17 March 2011) and Mirsad KEBO (since 17 March 2007); President of the Republika Srpska Milorad DODIK (since 15 November 2010); Vice Presidents Enes SULJKANOVIC (since 15 November 2010) and Emil VLAJKI (since 15 November 2010) |
| Legislative branch: | bicameral Parliamentary Assembly or Skupstina consists of the House of Peoples or Dom Naroda (15 seats, 5 Bosniak, 5 Croat, 5 Serb; members designated by the Bosniak/Croat Federation's House of Peoples and the Republika Srpska's National Assembly to serve four-year terms); and the state-level House of Representatives or Predstavnicki Dom (42 seats, 28 seats allocated for the Federation of Bosnia and Herzegovina and 14 seats for the Republika Srpska; members elected by popular vote on the basis of proportional representation to serve four-year terms); note - Bosnia's election law specifies four-year terms for the state and first-order administrative division entity legislatures |
| Legislative branch: | elections: House of Peoples - last constituted in 9 June 2011 (next likely to be constituted in 2015); state-level House of Representatives - election last held on 3 October 2010 (next to be held in October 2014) |
| Legislative branch: | election results: House of Peoples - percent of vote by party/coalition - NA; seats by party/coalition - NA; state-level House of Representatives - percent of vote by party/coalition - Federation votes: SDP BiH 26.1%, SDA 19.4%, SBB BiH 12.2%, HDZ BiH 11%, SBIH 7.3%, HDZ-1990/HSP BiH 4.9%, NSRzB 4.8%, DNZ 1.5%; Republika Srpska votes: SNSD 43.3%, SDS 22.2%, PDP 6.5%, DNS 4.6%; seats by party/coalition - SDP BiH 8, SNSD 8, SDA 7, SDS 4, SBB BiH 4, HDZ-BiH 3, SBiH 2, HDZ-1990/HSP BiH 2, NSRzB 1, DNZ 1, PDP 1, DNS 1 |
