| Government | Croatia |
| --- | --- |
| Country name: | conventional long form: Republic of Croatia |
| Country name: | conventional short form: Croatia |
| Country name: | local long form: Republika Hrvatska |
| Country name: | local short form: Hrvatska |
| Country name: | former: People's Republic of Croatia, Socialist Republic of Croatia |
| Government type: | presidential/parliamentary democracy |
| Capital: | name: Zagreb |
| Capital: | geographic coordinates: 45 48 N, 16 00 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 20 counties (zupanije, zupanija - singular) and 1 city* (grad - singular); Bjelovarsko-Bilogorska, Brodsko-Posavska, Dubrovacko-Neretvanska (Dubrovnik-Neretva), Istarska (Istria), Karlovacka, Koprivnicko-Krizevacka, Krapinsko-Zagorska, Licko-Senjska (Lika-Senj), Medimurska, Osjecko-Baranjska, Pozesko-Slavonska (Pozega-Slavonia), Primorsko-Goranska, Sibensko-Kninska, Sisacko-Moslavacka, Splitsko-Dalmatinska (Split-Dalmatia), Varazdinska, Viroviticko-Podravska, Vukovarsko-Srijemska, Zadarska, Zagreb*, Zagrebacka |
| Independence: | 25 June 1991 (from Yugoslavia) |
| National holiday: | Independence Day, 8 October (1991); note - 25 June 1991 was the day the Croatian parliament voted for independence; following a three-month moratorium to allow the European Community to solve the Yugoslav crisis peacefully, Parliament adopted a decision on 8 October 1991 to sever constitutional relations with Yugoslavia |
| Constitution: | adopted on 22 December 1990; revised 2000, 2001 |
| Legal system: | based on Austro-Hungarian law system with Communist law influences; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age, 16 if employed; universal |
| Executive branch: | chief of state: President Ivo JOSIPOVIC (since 18 February 2010) |
| Executive branch: | head of government: Prime Minister Jadranka KOSOR (since 6 July 2009); Deputy Prime Ministers Bozidar PANKRETIC (since 6 July 2009), Darko MILINOVIC (since 13 November 2009), Domagoj Ivan MILOSEVIC (since 29 December 2010), Petar COBANKOVIC (since 29 December 2010), Slobodan UZELAC (since 12 January 2008), Gordan JANDROKOVIC (since 29 December 2010) |
| Executive branch: | cabinet: Council of Ministers named by the prime minister and approved by the parliamentary assembly |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
