| Government | FRANCE |
| --- | --- |
| Country name: | conventional long form: French Republic |
| Country name: | conventional short form: France |
| Country name: | local long form: Republique francaise |
| Country name: | local short form: France |
| Country name: | etymology: name derives from the Latin "Francia" meaning "Land of the Franks"; the Franks were a group of Germanic tribes located along the middle and lower Rhine River in the 3rd century A.D. who merged with Gallic-Roman populations in succeeding centuries and to whom they passed on their name |
| Government type: | semi-presidential republic |
| Capital: | name: Paris |
| Capital: | geographic coordinates: 48 52 N, 2 20 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | note: applies to metropolitan France only, not to its overseas departments, collectivities, or territories |
| Administrative divisions: | 18 regions (regions, singular - region); Auvergne-Rhone-Alpes, Bourgogne-Franche-Comte (Burgundy-Free County), Bretagne (Brittany), Centre-Val de Loire (Center-Loire Valley), Corse (Corsica), Grand Est (Grand East), Guadeloupe, Guyane (French Guiana), Hauts-de-France (Upper France), Ile-de-France, Martinique, Mayotte, Normandie (Normandy), Nouvelle-Aquitaine (New Aquitaine), Occitanie (Occitania), Pays de la Loire (Lands of the Loire), Provence-Alpes-Cote d'Azur, Reunion |
| Administrative divisions: | note: France is divided into 13 metropolitan regions (including the "territorial collectivity" of Corse or Corsica) and 5 overseas regions (French Guiana, Guadeloupe, Martinique, Mayotte, and Reunion) and is subdivided into 96 metropolitan departments and 5 overseas departments (which are the same as the overseas regions) |
| Dependent areas: | Clipperton Island, French Polynesia, French Southern and Antarctic Lands, New Caledonia, Saint Barthelemy, Saint Martin, Saint Pierre and Miquelon, Wallis and Futuna |
| Dependent areas: | note: the US does not recognize claims to Antarctica; New Caledonia has been considered a "sui generis" collectivity of France since 1998, a unique status falling between that of an independent country and a French overseas department |
| Independence: | no official date of independence: 486 (Frankish tribes unified under Merovingian kingship); 10 August 843 (Western Francia established from the division of the Carolingian Empire); 14 July 1789 (French monarchy overthrown); 22 September 1792 (First French Republic founded); 4 October 1958 (Fifth French Republic established) |
| National holiday: | Fete de la Federation, 14 July (1790); note - although often incorrectly referred to as Bastille Day, the celebration actually commemorates the holiday held on the first anniversary of the storming of the Bastille (on 14 July 1789) and the establishment of a constitutional monarchy; other names for the holiday are Fete Nationale (National Holiday) and quatorze juillet (14th of July) |
| Constitution: | many previous; latest effective 4 October 1958; amended many times, last in 2008 (2016) |
| Legal system: | civil law; review of administrative but not legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of France |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Francois HOLLANDE (since 15 May 2012) |
| Executive branch: | head of government: Prime Minister Manuel VALLS (since 31 March 2014) |
| Executive branch: | cabinet: Council of Ministers appointed by the president at the suggestion of the prime minister |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 22 April and 6 May 2012 (next to be held in the spring of 2017); prime minister appointed by the president |
| Executive branch: | election results: Francois HOLLANDE elected president; percent of vote in first round - Francois HOLLANDE (PS) 28.6%, Nicolas SARKOZY (UMP) 27.2%, Marine LE PEN (FN) 17.9%, Jean-Luc MELENCHON (PG) 11.1%, Francois BAYROU (moDem) 9.1%, other 6.1%; percent of vote in second round - HOLLANDE 51.6%, SARKOZY 48.4% |
