| Government | Slovenia |
| --- | --- |
| Country name: | conventional long form: Republic of Slovenia |
| Country name: | conventional short form: Slovenia |
| Country name: | local long form: Republika Slovenija |
| Country name: | local short form: Slovenija |
| Country name: | former: People's Republic of Slovenia, Socialist Republic of Slovenia |
| Government type: | parliamentary republic |
| Capital: | name: Ljubljana |
| Capital: | geographic coordinates: 46 03 N, 14 31 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 182 municipalities (obcine, singular - obcina) and 11 urban municipalities* (mestne obcine , singular - mestna obcina ) Ajdovscina, Beltinci, Benedikt, Bistrica ob Sotli, Bled, Bloke, Bohinj, Borovnica, Bovec, Braslovce, Brda, Brezice, Brezovica, Cankova, Celje*, Cerklje na Gorenjskem, Cerknica, Cerkno, Cerkvenjak, Crensovci, Crna na Koroskem, Crnomelj, Destrnik, Divaca, Dobje, Dobrepolje, Dobrna, Dobrova-Horjul-Polhov Gradec, Dobrovnik-Dobronak, Dolenjske Toplice, Dol pri Ljubljani, Domzale, Dornava, Dravograd, Duplek, Gorenja Vas-Poljane, Gorisnica, Gornja Radgona, Gornji Grad, Gornji Petrovci, Grad, Grosuplje, Hajdina, Hoce-Slivnica, Hodos-Hodos, Horjul, Hrastnik, Hrpelje-Kozina, Idrija, Ig, Ilirska Bistrica, Ivancna Gorica, Izola-Isola, Jesenice, Jezersko, Jursinci, Kamnik, Kanal, Kidricevo, Kobarid, Kobilje, Kocevje, Komen, Komenda, Koper-Capodistria*, Kostel, Kozje, Kranj*, Kranjska Gora, Krizevci, Krsko, Kungota, Kuzma, Lasko, Lenart, Lendava-Lendva, Litija, Ljubljana*, Ljubno, Ljutomer, Logatec, Loska Dolina, Loski Potok, Lovrenc na Pohorju, Luce, Lukovica, Majsperk, Maribor*, Markovci, Medvode, Menges, Metlika, Mezica, Miklavz na Dravskem Polju, Miren-Kostanjevica, Mirna Pec, Mislinja, Moravce, Moravske Toplice, Mozirje, Murska Sobota*, Muta, Naklo, Nazarje, Nova Gorica*, Novo Mesto*, Odranci, Oplotnica, Ormoz, Osilnica, Pesnica, Piran-Pirano, Pivka, Podcetrtek, Podlehnik, Podvelka, Polzela, Postojna, Prebold, Preddvor, Prevalje, Ptuj*, Puconci, Race-Fram, Radece, Radenci, Radlje ob Dravi, Radovljica, Ravne na Koroskem, Razkrizje, Ribnica, Ribnica na Pohorju, Rogasovci, Rogaska Slatina, Rogatec, Ruse, Salovci, Selnica ob Dravi, Semic, Sempeter-Vrtojba, Sencur, Sentilj, Sentjernej, Sentjur pri Celju, Sevnica, Sezana, Skocjan, Skofja Loka, Skofljica, Slovenj Gradec*, Slovenska Bistrica, Slovenske Konjice, Smarje pri Jelsah, Smartno ob Paki, Smartno pri Litiji, Sodrazica, Solcava, Sostanj, Starse, Store, Sveta Ana, Sveti Andraz v Slovenskih Goricah, Sveti Jurij, Tabor, Tisina, Tolmin, Trbovlje, Trebnje, Trnovska Vas, Trzic, Trzin, Turnisce, Velenje*, Velika Polana, Velike Lasce, Verzej, Videm, Vipava, Vitanje, Vodice, Vojnik, Vransko, Vrhnika, Vuzenica, Zagorje ob Savi, Zalec, Zavrc, Zelezniki, Zetale, Ziri, Zirovnica, Zuzemberk, Zrece |
| Administrative divisions: | note: the Government of Slovenia has reported 210 municipalities |
| Independence: | 25 June 1991 (from Yugoslavia) |
| National holiday: | Independence Day/Statehood Day, 25 June (1991) |
| Constitution: | adopted 23 December 1991, amended 14 July 1997 and 25 July 2000 |
| Legal system: | based on civil law system; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal (16 years of age, if employed) |
| Executive branch: | chief of state: President Danilo TURK (since 22 December 2007) |
| Executive branch: | head of government: Prime Minister Borut PAHOR (since 7 November 2008) |
| Executive branch: | cabinet: Council of Ministers nominated by the prime minister and elected by the National Assembly |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held 21 October and 11 November 2007 (next to be held in the 8 October 2012); following National Assembly elections, the leader of the majority party or the leader of a majority coalition is usually nominated to become prime minister by the president and elected by the National Assembly; election last held on 21 September 2008 (next National Assembly elections to be held in 8 October 2012) |
| Executive branch: | election results: Danilo TURK elected president; percent of vote - Danilo TURK 68.2%, Alojze PETERLE 31.8%; Borut PAHOR elected prime minister by National Assembly vote |
| Legislative branch: | bicameral Parliament consists of a National Council or Drzavni Svet (40 seats; members indirectly elected by an electoral college to serve five-year terms; note - this is primarily an advisory body with limited legislative powers; it may propose laws, ask to review any National Assembly decision, and call national referenda) and the National Assembly or Drzavni Zbor (90 seats; 40 members are directly elected and 50 are elected on a proportional basis; note - the number of directly elected and proportionally elected seats varies with each election; the constitution mandates 1 seat each for Slovenia's Hungarian and Italian minorities; members are elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: National Assembly - last held 21 September 2008 (next to be held 8 October 2012) |
| Legislative branch: | election results: percent of vote by party - SD 30.5%, SDS 29.3%, ZARES 9.4%, DeSUS 7.5%, SNS 5.5%, SLS+SMS 5.2%, LDS 5.2%, other 7.4%; seats by party - SD 29, SDS 28, ZARES 9, DeSUS 7, SNS 5, SLS+SMS 5, LDS 5, Hungarian minority 1, Italian minority 1 |
| Judicial branch: | Supreme Court (judges are elected by the National Assembly on the recommendation of the Judicial Council); Constitutional Court (judges elected for nine-year terms by the National Assembly and nominated by the president) |
