| Government | SWITZERLAND |
| --- | --- |
| Country name: | conventional long form: Swiss Confederation |
| Country name: | conventional short form: Switzerland |
| Country name: | local long form: Schweizerische Eidgenossenschaft (German); Confederation Suisse (French); Confederazione Svizzera (Italian); Confederaziun Svizra (Romansh) |
| Country name: | local short form: Schweiz (German); Suisse (French); Svizzera (Italian); Svizra (Romansh) |
| Country name: | etymology: name derives from the canton of Schwyz, one of the founding cantons of the Old Swiss Confederacy that formed in the 14th century |
| Government type: | federal republic (formally a confederation) |
| Capital: | name: Bern |
| Capital: | geographic coordinates: 46 55 N, 7 28 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 26 cantons (cantons, singular - canton in French; cantoni, singular - cantone in Italian; Kantone, singular - Kanton in German); Aargau, Appenzell Ausserrhoden, Appenzell Innerrhoden, Basel-Landschaft, Basel-Stadt, Berne/Bern, Fribourg/Freiburg, Geneve, Glarus, Graubuenden/Grigioni/Grischun, Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais/Wallis, Vaud, Zug, Zuerich |
| Administrative divisions: | note: 6 of the cantons - Appenzell Ausserrhoden, Appenzell Innerrhoden, Basel-Landschaft, Basel-Stadt, Nidwalden, Obwalden - are referred to as half cantons because they elect only one member to the Council of States and, in popular referendums where a majority of popular votes and a majority of cantonal votes are required, these 6 cantons only have a half vote |
| Independence: | 1 August 1291 (founding of the Swiss Confederation) |
| National holiday: | Founding of the Swiss Confederation in 1291; note - since 1 August 1891 celebrated as Swiss National Day |
| Constitution: | history: previous 1848, 1874; latest adopted by referendum 18 April 1999, effective 1 January 2000 |
| Constitution: | amendments: proposed by the two houses of the Federal Assembly or by petition of at least one million voters (called the "federal popular initiative"); passage of proposals requires majority vote in a referendum; following drafting of an amendment by the Assembly, its passage requires approval by majority vote in a referendum and approval by the majority of cantons; amended many times, last in 2016 (2016) |
| Legal system: | civil law system; judicial review of legislative acts, except for federal decrees of a general obligatory character |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Switzerland |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 12 years including at least 3 of the last 5 years prior to application |
| Suffrage: | 18 years of age; universal |
