| Government | Georgia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Georgia |
| Country name: | local long form: none |
| Country name: | local short form: Sak'art'velo |
| Country name: | former: Georgian Soviet Socialist Republic |
| Country name: | etymology: the Western name may derive from the Persian designation "gurgan" meaning "Land of the Wolves"; the native name "Sak'art'velo" means "Land of the Kartvelians" and refers to the core central Georgian region of Kartli |
| Government type: | semi-presidential republic |
| Capital: | name: Tbilisi |
| Capital: | geographic coordinates: 41 41 N, 44 50 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: the name in Georgian means "warm place," referring to the numerous sulfuric hot springs in the area |
| Administrative divisions: | 9 regions (mkharebi, singular - mkhare), 1 city (kalaki), and 2 autonomous republics (avtomnoy respubliki, singular - avtom respublika) |
| Administrative divisions: | regions: Guria, Imereti, Kakheti, Kvemo Kartli, Mtskheta Mtianeti, Racha-Lechkhumi and Kvemo Svaneti, Samegrelo and Zemo Svaneti, Samtskhe-Javakheti, Shida Kartli; note - the breakaway region of South Ossetia consists of the northern part of Shida Kartli, eastern slivers of the Imereti region and Racha-Lechkhumi and Kvemo Svaneti, and part of western Mtskheta-Mtianeti |
| Administrative divisions: | city: Tbilisi |
| Administrative divisions: | autonomous republics: Abkhazia or Ap'khazet'is Avtonomiuri Respublika (Sokhumi), Ajaria or Acharis Avtonomiuri Respublika (Bat'umi) |
| Administrative divisions: | note 1: the administrative centers of the two autonomous republics are shown in parentheses |
| Administrative divisions: | note 2: the United States recognizes the breakaway regions of Abkhazia and South Ossetia to be part of Georgia |
| Independence: | 9 April 1991 (from the Soviet Union); notable earlier date: A.D. 1008 (Georgia unified under King BAGRAT III) |
| National holiday: | Independence Day, 26 May (1918); note - 26 May 1918 was the date of independence from Soviet Russia, 9 April 1991 was the date of independence from the Soviet Union |
| Constitution: | history: previous 1921, 1978 (based on 1977 Soviet Union constitution); latest approved 24 August 1995, effective 17 October 1995 |
| Constitution: | amendments: proposed as a draft law supported by more than one half of the Parliament membership or by petition of at least 200,000 voters; passage requires support by at least three fourths of the Parliament membership in two successive sessions three months apart and the signature and promulgation by the president of Georgia; amended several times, last in 2020 (legislative electoral system revised) |
| Legal system: | civil law system |
| International law organization participation: | accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Georgia |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Salome ZOURABICHVILI (since 16 December 2018) |
| Executive branch: | head of government: Prime Minister Giorgi GAKHARIA (since 8 September 2019) |
| Executive branch: | cabinet: Cabinet of Ministers |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 28 November 2018 (next to be held in 2024); prime minister nominated by Parliament, appointed by the president |
| Executive branch: | note - 2017 constitutionalÂ amendments made the 2018 election the last where the president was directly elected; futureÂ presidents will be elected by a 300-member College of Electors; in light ofÂ these changes, ZOURABICHVILI was allowedÂ a six-year term |
| Executive branch: | election results: Salome ZOURABICHVILI elected president in runoff; percent of vote - Salome ZOURABICHVILI (independent, backed by Georgian Dream) 59.5%, Grigol VASHADZE (UNM) 40.5%; Giorgi GAKHARIA approved as prime minister by Parliamentary vote 98-0 |
| Legislative branch: | description: unicameral Parliament or Sakartvelos Parlamenti (150 seats; 120 members directly elected in a single nationwide constituency by closed, party-list proportional representation vote and 30 directly elected in single-seat constituencies by at least 50% majority vote, with a runoff if needed; no party earning less than 40% of total votes may claim a majority; members serve 4-year terms) |
| Legislative branch: | elections: last held on 31 October and 21 November 2020 (next to be held in October 2024) |
| Legislative branch: | election results: percent of vote by party - Georgian Dream 48.2%, UNM 27.2%, European Georgia 3.8%, Lelo 3.2%, Strategy 3.2%, Alliance of Patriots 3.1%, Girchi 2.9%, Citizens 1.3%, Labor 1%; seats by party - Georgian Dream 90, UNM 36, European Georgia 5, Lelo 4, Strategy 4, Alliance of Patriots 4, Girchi 4, Citizens 2, Labor 1 |
| Judicial branch: | highest courts: Supreme Court (consists of 28 judges organized into several specialized judicial chambers; number of judges determined by the president of Georgia); Constitutional Court (consists of 9 judges); note - the Abkhazian and Ajarian Autonomous republics each have a supreme court and a hierarchy of lower courts |
| Judicial branch: | judge selection and term of office: Supreme Court judges nominated by the High Council of Justice (a 14-member body consisting of the Supreme Court chairperson,Â common court judges, and appointees of the president of Georgia)Â and appointed by Parliament; judges appointed for life; Constitutional Court judges appointed 3 each by the president, by Parliament, and by the Supreme Court judges; judges appointed for 10-year terms |
| Judicial branch: | subordinate courts: Courts of Appeal; regional (town) and district courts |
| Political parties and leaders: | Alliance of Patriots [Irma INASHVILI] |
