| Government | Canada |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Canada |
| Government type: | a parliamentary democracy, a federation, and a constitutional monarchy |
| Capital: | name: Ottawa |
| Capital: | geographic coordinates: 45 25 N, 75 42 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November |
| Capital: | note: Canada is divided into six time zones |
| Administrative divisions: | 10 provinces and 3 territories*; Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories*, Nova Scotia, Nunavut*, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon Territory* |
| Independence: | 1 July 1867 (union of British North American colonies); 11 December 1931 (recognized by UK) |
| National holiday: | Canada Day, 1 July (1867) |
| Constitution: | made up of unwritten and written acts, customs, judicial decisions, and traditions; the written part of the constitution consists of the Constitution Act of 29 March 1867, which created a federation of four provinces, and the Constitution Act of 17 April 1982, which transferred formal control over the constitution from Britain to Canada, and added a Canadian Charter of Rights and Freedoms as well as procedures for constitutional amendments |
| Legal system: | based on English common law, except in Quebec, where civil law system based on French law prevails; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | head of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General David JOHNSTON (since 1 October 2010) |
| Executive branch: | head of government: Prime Minister Stephen Joseph HARPER (since 6 February 2006) |
| Executive branch: | cabinet: Federal Ministry chosen by the prime minister usually from among the members of his own party sitting in Parliament |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the monarchy is hereditary; governor general appointed by the monarch on the advice of the prime minister for a five-year term; following legislative elections, the leader of the majority party or the leader of the majority coalition in the House of Commons generally designated prime minister by the governor general |
| Legislative branch: | bicameral Parliament or Parlement consists of the Senate or Senat (105 seats; members appointed by the governor general on the advice of the prime minister and serve until 75 years of age) and the House of Commons or Chambre des Communes (308 seats; members elected by direct, popular vote to serve a maximum of five-year terms) |
| Legislative branch: | elections: House of Commons - last held on 14 October 2008 (next to be held no later than 15 October 2012) |
| Legislative branch: | election results: House of Commons - percent of vote by party - Conservative Party 37.6%, Liberal Party 26.2%, New Democratic Party 18.2%, Bloc Quebecois 10%, Greens 6.8%, other 1%; seats by party - Conservative Party 145, Liberal Party 77, New Democratic Party 37, Bloc Quebecois 48, other 1 |
| Judicial branch: | Supreme Court of Canada (judges are appointed by the prime minister through the governor general); Federal Court of Canada; Federal Court of Appeal; Provincial Courts (these are named variously Court of Appeal, Court of Queen's Bench, Superior Court, Supreme Court, and Court of Justice) |
| Political parties and leaders: | Bloc Quebecois [Gilles DUCEPPE]; Conservative Party of Canada [Stephen HARPER] (a merger of the Canadian Alliance and the Progressive Conservative Party); Green Party [Elizabeth MAY]; Liberal Party [Michael IGNATIEFF]; New Democratic Party [Jack LAYTON] |
| Political pressure groups and leaders: | other: agricultural sector; automobile industry; business groups; chemical industry; commercial banks; communications sector; energy industry; environmentalists; public administration groups; steel industry; trade unions |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), APEC, Arctic Council, ARF, ASEAN (dialogue partner), Australia Group, BIS, C, CDB, EAPC, EBRD, FAO, FATF, G-20, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINUSTAH, MONUSCO, NAFTA, NATO, NEA, NSG, OAS, OECD, OIF, OPCW, OSCE, Paris Club, PCA, PIF (partner), SECI (observer), UN, UNAMID, UNCTAD, UNDOF, UNESCO, UNFICYP, UNHCR, UNMIS, UNRWA, UNTSO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Gary DOER |
| Diplomatic representation in the US: | chancery: 501 Pennsylvania Avenue NW, Washington, DC 20001 |
| Diplomatic representation in the US: | telephone: [1] (202) 682-1740 |
| Diplomatic representation in the US: | FAX: [1] (202) 682-7701 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Buffalo, Chicago, Dallas, Denver, Detroit, Los Angeles, Miami, Minneapolis, New York, Phoenix, San Diego, San Francisco, Seattle, Tucson |
| Diplomatic representation in the US: | consulate(s): Anchorage, Houston, Philadelphia, Princeton (New Jersey), Raleigh, San Jose (California), Tucson |
| Diplomatic representation from the US: | chief of mission: Ambassador David C. JACOBSON |
| Diplomatic representation from the US: | embassy: 490 Sussex Drive, Ottawa, Ontario K1N 1G8 |
| Diplomatic representation from the US: | mailing address: P. O. Box 5000, Ogdensburg, NY 13669-0430; P.O. Box 866, Station B, Ottawa, Ontario K1P 5T1 |
