| Government | CLIPPERTON ISLAND |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Clipperton Island |
| Country name: | local long form: none |
| Country name: | local short form: Ile Clipperton |
| Country name: | former: sometimes referred to as Ile de la Passion or Atoll Clipperton |
| Country name: | etymology: named after an 18th-century English pirate who supposedly used the island as a base |
| Dependency status: | possession of France; administered directly by the Minister of Overseas France |
| Legal system: | the laws of France apply |
| Flag description: | the flag of France is used |
