| Government | Venezuela |
| --- | --- |
| Country name: | conventional long form: Bolivarian Republic of Venezuela |
| Country name: | conventional short form: Venezuela |
| Country name: | local long form: Republica Bolivariana de Venezuela |
| Country name: | local short form: Venezuela |
| Government type: | federal republic |
| Capital: | name: Caracas |
| Capital: | geographic coordinates: 10 30 N, 66 56 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 23 states (estados, singular - estado), 1 capital district* (distrito capital), and 1 federal dependency** (dependencia federal); Amazonas, Anzoategui, Apure, Aragua, Barinas, Bolivar, Carabobo, Cojedes, Delta Amacuro, Dependencias Federales**, Distrito Federal*, Falcon, Guarico, Lara, Merida, Miranda, Monagas, Nueva Esparta, Portuguesa, Sucre, Tachira, Trujillo, Vargas, Yaracuy, Zulia |
| Administrative divisions: | note: the federal dependency consists of 11 federally controlled island groups with a total of 72 individual islands |
| Independence: | 5 July 1811 (from Spain) |
| National holiday: | Independence Day, 5 July (1811) |
| Constitution: | 30 December 1999 |
| Legal system: | open, adversarial court system |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Hugo CHAVEZ Frias (since 3 February 1999); Vice President Jorge RODRIGUEZ Gomez (since 3 January 2007); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Hugo CHAVEZ Frias (since 3 February 1999); Vice President Jorge RODRIGUEZ Gomez (since 3 January 2007) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: president elected by popular vote for a six-year term (eligible for a second term); election last held 3 December 2006 (next to be held in December 2012) |
| Executive branch: | note: in 1999, a National Constituent Assembly drafted a new constitution that increased the presidential term to six years; an election was subsequently held on 30 July 2000 under the terms of this constitution |
| Executive branch: | election results: Hugo CHAVEZ Frias reelected president; percent of vote - Hugo CHAVEZ Frias 62.9%, Manuel ROSALES 36.9% |
| Legislative branch: | unicameral National Assembly or Asamblea Nacional (167 seats; members elected by popular vote to serve five-year terms; three seats reserved for the indigenous peoples of Venezuela) |
| Legislative branch: | elections: last held 4 December 2005 (next to be held in 2010) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - pro-government 167 (MVR 114, PODEMOS 15, PPT 11, indigenous 2, other 25), opposition 0 |
| Judicial branch: | Supreme Tribunal of Justice or Tribuna Suprema de Justicia (magistrates are elected by the National Assembly for a single 12-year term) |
| Political parties and leaders: | A New Time or UNT [Manuel ROSALES]; Christian Democrats or COPEI [Cesar PEREZ Vivas]; Democratic Action or AD [Henry RAMOS Allup]; Fatherland for All or PPT [Jose ALBORNOZ]; Fifth Republic Movement or MVR [Hugo CHAVEZ]; Justice First [Julio BORGES]; Movement Toward Socialism or MAS [Hector MUJICA]; Venezuela Project or PV [Henrique SALAS Romer]; We Can or PODEMOS [Ismael GARCIA] |
| Political pressure groups and leaders: | FEDECAMARAS, a conservative business group; VECINOS groups; Venezuelan Confederation of Workers or CTV (labor organization dominated by the Democratic Action) |
| International organization participation: | CAN, Caricom (observer), CDB, CSN, FAO, G-3, G-15, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAES, LAIA, Mercosur, MIGA, NAM, OAS, OPANAL, OPCW, OPEC, PCA, RG, UN, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Bernardo ALVAREZ Herrera |
| Diplomatic representation in the US: | chancery: 1099 30th Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 342-2214 |
| Diplomatic representation in the US: | FAX: [1] (202) 342-6820 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Houston, Miami, New Orleans, New York, San Francisco, San Juan (Puerto Rico) |
| Diplomatic representation from the US: | chief of mission: Ambassador William R. BROWNFIELD |
| Diplomatic representation from the US: | embassy: Calle F con Calle Suapure, Urbanizacion Colinas de Valle Arriba, Caracas 1080 |
| Diplomatic representation from the US: | mailing address: P. O. Box 62291, Caracas 1060-A; APO AA 34037 |
| Diplomatic representation from the US: | telephone: [58] (212) 975-9234, 975-6411 |
| Diplomatic representation from the US: | FAX: [58] (212) 975-8991 |
| Flag description: | three equal horizontal bands of yellow (top), blue, and red with the coat of arms on the hoist side of the yellow band and an arc of eight white five-pointed stars centered in the blue band |
